"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
36,0.000119864381439946,5.90404425646807e-05,3.30605550736872e-05,3.30605550736536e-05,107.04940152037,866,1041
37,0.000105269702326696,5.21128689819369e-05,2.89297770765754e-05,2.8929777076408e-05,95.7692557077421,866,1041
38,9.22788514412448e-05,4.59577897167458e-05,2.52719843489115e-05,2.52719843489477e-05,85.3892796192658,866,1041
39,8.07481090508077e-05,4.04935555631005e-05,2.2047003499499e-05,2.20470034993725e-05,75.9015548660486,866,1041
40,7.05766086009257e-05,3.56751891322157e-05,1.92179298035765e-05,1.92179298036047e-05,67.2816994951568,866,1041
41,6.16510573377581e-05,3.14351247233153e-05,1.67427543577357e-05,1.67427543577326e-05,59.4926751442094,866,1041
42,5.38450400787713e-05,2.77026468753646e-05,1.4583061032326e-05,1.45830610322647e-05,52.4884095703933,866,1041
43,4.6973203459372e-05,2.50968806844705e-05,1.27073600094396e-05,1.27073600093482e-05,46.2138678792635,866,1041
44,4.02378000605995e-05,2.22868343834289e-05,1.11260854978252e-05,1.11260854977792e-05,40.567049026211,866,1041
45,3.48734925923026e-05,1.96261771930663e-05,9.72301685913492e-06,9.72301685898935e-06,35.5474307820004,866,1041
46,3.06276665519509e-05,1.73182685128283e-05,8.51283975855657e-06,8.51283975854879e-06,31.1038091987161,866,1041
47,2.6896470560316e-05,1.52506732352448e-05,7.46237876193941e-06,7.46237876196788e-06,27.1810622422749,866,1041
48,2.36941789362155e-05,1.34243474602888e-05,6.5477557310888e-06,6.54775573099717e-06,23.7264241468479,866,1041
49,2.09198504511635e-05,1.1819079479702e-05,5.75024440888065e-06,5.7502444087283e-06,20.6904184901782,866,1041
50,1.85055278586007e-05,1.04072416229086e-05,5.05481159547021e-06,5.05481159544433e-06,18.0272598182964,866,1041
51,1.63971618303139e-05,9.1673283064534e-06,4.44829186283585e-06,4.44829186277862e-06,15.6949437631474,866,1041
52,1.45550238784918e-05,8.07980761702332e-06,3.91904507029261e-06,3.91904507024265e-06,13.6552597621812,866,1041
53,1.29489307389216e-05,7.12757460467675e-06,3.45684120145906e-06,3.45684120138446e-06,11.8736943893309,866,1041
54,1.15487332777162e-05,6.29419490257473e-06,3.05273227997886e-06,3.05273227995661e-06,10.3192591044408,866,1041
55,1.03288101563295e-05,5.56409638328789e-06,2.6989264034567e-06,2.69892640317858e-06,9.44542379207485,1035,876
56,9.26494875345606e-06,4.92447688799385e-06,2.38882145949427e-06,2.3888214595594e-06,9.19605645517083,1035,876
