"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S65_R_ANCPO_O","Savigny, ancienne poste",65,"R",6603.192,1348.6721,54.6041358936484,22.9512555,6836.37260107143,1115.49149892857,6805.889,0,0,-30.484,-0.446,1112.36,0,0,-3.131,-0.281
"S65_R_PUBLO_O","Savigny, Publoz",65,"R",688.25995,160.72433,116.796159527326,8.6085672,993.896822142857,0,989.465,0,0,-4.432,-0.446,0,0,NA,0,NA
"S65_R_CLAIE_O","Savigny, Claie-aux-Moines",65,"R",15480.26,4742.8164,57.4419178082192,60.1933665,15713.4406010714,4509.63579892857,15643.275,0,0,-70.166,-0.447,4496.974,0,0,-12.662,-0.281
"S65_R_RAVES_O","Pully, Ravessoud",65,"R",317.43332,42.764595,46.1121917808219,7.1250685,741.029927142857,0,737.721,0,0,-3.309,-0.447,0,0,NA,0,NA
"S65_R_MTPLY_O","Pully, Monts-de-Pully",65,"R",658.7275,54.13448,34.6154794520548,11.4512329,1070.95422214286,0,1066.172,0,0,-4.782,-0.447,0,0,NA,0,NA
"S65_R_3CHAS_O","Pully, Trois-Chasseurs",65,"R",2915.1855,316.01248,95.2383888203864,19.1539726,3148.36610107143,82.8318789285715,3134.307,0,0,-14.059,-0.447,82.599,0,0,-0.233,-0.281
"S65_R_MBLES_O","Montblesson, Centenaire",65,"R",2544.9082,156.04366,66.8851425438596,19.0852172,2855.22574214286,0,2842.476,0,0,-12.75,-0.447,0,0,NA,0,NA
"S65_R_ROVER_O","Lausanne, Rovéréaz",65,"R",1254.8508,121.86301,72.627929286008,12.5660636,1599.34899214286,0,1592.207,0,0,-7.142,-0.447,0,0,NA,0,NA
"S65_R_FOYER_O","Foyer",65,"R",5363.405,2439.6714,191.75,25.4297657,5596.58560107143,2206.49079892857,557.159,5280.265,94.348,240.838,4.303,2200.296,0,0,-6.195,-0.281
"S65_R_SALA_Z","Sallaz",65,"R",0,127758.586,NA,14.4009634,0,127525.405398929,0,0,NA,0,NA,121901.914,5280.265,4.141,-343.226,-0.269
"S67_A_VVERT_B","Pully, Val-Vert",67,"A",16551.475,0,138.444255680612,164.8396687,16551.4754200588,0,16581.471,0,0,29.996,0.181,0,0,NA,0,NA
"S67_A_CHNAU_E","Pully, Chenaulaz",67,"A",76.73088,55.616844,111.774426508071,12.9156934,76.7313000588235,55.6164239411765,76.87,0,0,0.139,0.181,55.46,0,0,-0.156,-0.28
"S67_A_GCHAM_E","Belmont-s-L., Grands-Champs",67,"A",1013.15295,1427.7977,57.2515923566879,35.3740442,1013.15337005882,1427.79727994118,1014.991,0,0,1.838,0.181,1423.788,0,0,-4.009,-0.281
"S67_A_BELMT_E","Belmont-s-L., Centre",67,"A",656.8387,1325.5781,61.3020590108257,25.7346072,656.839120058824,1325.57767994118,658.027,0,0,1.188,0.181,1321.856,0,0,-3.722,-0.281
"S67_A_BLESS_E","Belmont-s-L., Blessoney",67,"A",648.56995,1143.97,68.0494587136489,22.9949055,648.570370058824,1143.96957994118,649.743,0,0,1.173,0.181,1140.758,0,0,-3.212,-0.281
"S67_A_LANDA_E","Lutry, Landar",67,"A",558.34235,728.0587,89.7306304393972,24.7257482,558.342770058824,728.058279941176,55.935,600.346,107.523,97.938,17.541,726.014,0,0,-2.044,-0.281
"S67_A_ECHER_E","Lutry, Echerins",67,"A",54.038857,304.4258,53.6265648207087,11.9953301,54.0392770588235,304.425379941176,54.137,0,0,0.098,0.181,274.456,29.197,9.591,-0.772,-0.254
"S67_A_CROIX_S","Lutry, Croix/Lutry",67,"A",1327.9417,4103.0264,78.6646846464217,55.1493741,1327.94212005882,4103.02597994118,133.035,1195.432,90.021,0.525,0.04,4091.506,0,0,-11.52,-0.281
"S67_A_SAPEL_E","Lutry, Sapelle",67,"A",465.3242,1583.2734,48.3385007432576,16.8842642,465.324620058824,1583.27297994118,466.167,0,0,0.842,0.181,1578.828,0,0,-4.445,-0.281
"S67_A_JDILL_E","Lutry, Jordillon",67,"A",580.46533,1599.8159,42.2767041834785,15.9294967,580.465750058824,1599.81547994118,581.517,0,0,1.051,0.181,1595.324,0,0,-4.491,-0.281
"S67_A_FORNI_E","Villette (Lavaux), Pra Forni",67,"A",1833.9927,2335.5955,82.4052676295667,20.5674241,1833.99312005882,2335.59507994118,1837.318,0,0,3.325,0.181,2329.037,0,0,-6.558,-0.281
"S67_A_GRAVX_E","Grandvaux, Pra Grana",67,"A",1976.4905,1705.2767,84.6593033135089,66.7449023,1976.49092005882,1705.27627994118,1980.076,0,0,3.585,0.181,1700.488,0,0,-4.788,-0.281
"S67_A_GENE_S","Grandvaux, Genevrey",67,"A",772.27246,407.2619,79.6591056383668,18.7759133,772.272880058824,407.261479941177,773.674,0,0,1.401,0.181,406.118,0,0,-1.143,-0.281
"S67_A_GVG_S","Grandvaux, gare sud",67,"A",5402.106,1980.4019,85.5452421410365,54.2164614,5402.10642005882,1980.40147994118,5411.909,0,0,9.803,0.181,1974.841,0,0,-5.56,-0.281
"S67_A_CNAX_E","Grandvaux, Chenaux",67,"A",379.3986,135.1499,172.065420560748,14.8209431,379.399020058824,135.149479941176,380.087,0,0,0.688,0.181,134.77,0,0,-0.379,-0.28
"S67_A_MOUN_S","Riex, Mouniaz",67,"A",1603.1501,1355.5676,62.1045251752709,53.2880204,1603.15052005882,1355.56717994118,1606.06,0,0,2.909,0.181,1351.761,0,0,-3.806,-0.281
"S67_A_COLO_O","Cully, Colombaires",67,"A",22.225185,1089.5024,53.287369640788,14.2938177,22.2256050588235,1089.50197994118,22.266,0,0,0.04,0.18,1086.443,0,0,-3.059,-0.281
"S67_A_CUYG_B","Cully, gare",67,"A",0,12642.211,NA,20.6584009,0,12642.2105799412,0,0,NA,0,NA,12606.715,0,0,-35.496,-0.281
"S67_R_CUYG_B","Cully, gare",67,"R",18001.475,0,76.3368711526215,1069.1097432,18001.4749422059,0,18034.319,0,0,32.844,0.182,0,0,NA,0,NA
"S67_R_COLO_E","Cully, Colombaires",67,"R",486.69495,341.4289,72.9755994058986,10.7822118,486.694892205882,341.428957794118,487.583,0,0,0.888,0.182,340.47,0,0,-0.959,-0.281
"S67_R_MOUN_N","Riex, Mouniaz",67,"R",1269.6051,3440.561,129.130600976853,34.9929981,1269.60504220588,3440.56105779412,1271.92,0,0,2.315,0.182,3430.901,0,0,-9.66,-0.281
"S67_R_CNAX_O","Grandvaux, Chenaux",67,"R",345.16675,1111.077,118.456147893379,23.2408155,345.166692205882,1111.07705779412,345.796,0,0,0.629,0.182,1107.958,0,0,-3.119,-0.281
"S67_R_GVG_N","Grandvaux, gare sud",67,"R",4670.595,5503.755,91.1042020373514,56.8239467,4670.59494220588,5503.75505779412,4679.099,0,0,8.504,0.182,5488.302,0,0,-15.453,-0.281
"S67_R_GENE_N","Grandvaux, Genevrey",67,"R",652.47595,1947.5331,80.3348896434635,28.4783531,652.475892205882,1947.53315779412,653.663,0,0,1.187,0.182,1942.065,0,0,-5.468,-0.281
"S67_R_GRAVX_O","Grandvaux, Pra Grana",67,"R",1664.568,3365.8318,48.9802673456397,27.9219015,1664.56794220588,3365.83185779412,1667.593,0,0,3.025,0.182,3356.382,0,0,-9.45,-0.281
"S67_R_FORNI_O","Villette (Lavaux), Pra Forni",67,"R",2464.7861,2596.541,54.2366298811545,36.3914704,2464.78604220588,2596.54105779412,2469.259,0,0,4.473,0.181,2589.251,0,0,-7.29,-0.281
"S67_R_JDILL_O","Lutry, Jordillon",67,"R",1722.8438,950.41437,53.3514431239389,17.1156621,1722.84374220588,950.414427794118,1725.969,0,0,3.125,0.181,947.746,0,0,-2.668,-0.281
"S67_R_SAPEL_O","Lutry, Sapelle",67,"R",2674.7466,485.2642,92.419779286927,18.4741087,2674.74654220588,485.264257794118,2679.598,0,0,4.851,0.181,48.39,457.479,94.274,20.605,4.246
"S67_R_CROIX_O","Lutry, Croix/Lutry",67,"R",4606.657,1854.0223,30.668576278379,39.3427419,4606.65694220588,1854.02235779412,4605.88,9.11,0.198,8.333,0.181,1848.817,0,0,-5.205,-0.281
"S67_R_ECHER_O","Lutry, Echerins",67,"R",86.12155,43.804527,96.6764269043072,7.5692765,86.1214922058824,43.8045847941176,86.278,0,0,0.157,0.182,4.368,241.847,552.104,202.41,462.075
"S67_R_LANDA_O","Lutry, Landar",67,"R",446.08557,622.265,58.4258119295266,15.6539359,446.085512205882,622.265057794118,446.894,0,0,0.808,0.181,620.518,0,0,-1.747,-0.281
"S67_R_BLESS_O","Belmont-s-L., Blessoney",67,"R",731.83826,625.94653,65.508067940552,17.2432605,731.838202205882,625.946587794118,733.174,0,0,1.336,0.183,624.189,0,0,-1.758,-0.281
"S67_R_BELMT_O","Belmont-s-L., Centre",67,"R",1033.2051,587.89136,49.5347060072172,19.3518047,1033.20504220588,587.891417794118,1035.085,0,0,1.88,0.182,586.241,0,0,-1.65,-0.281
"S67_R_GCHAM_O","Belmont-s-L., Grands-Champs",67,"R",787.16626,634.17267,94.3771501380336,19.6478455,787.166202205882,634.172727794118,788.593,0,0,1.427,0.181,632.392,0,0,-1.781,-0.281
"S67_R_CHNAU_O","Pully, Chenaulaz",67,"R",30.253399,36.605667,86.0784939374601,11.7636441,30.2533412058824,36.6057247941175,30.308,0,0,0.055,0.182,36.503,0,0,-0.103,-0.281
"S67_R_VVERT_B","Pully, Val-Vert",67,"R",0,17527.168,NA,15.4022548,0,17527.1680577941,0,0,NA,0,NA,17477.957,0,0,-49.211,-0.281
"S68_A_LYGAR_C","Lutry, gare",68,"A",5272.18,6.3213444,130.315892740353,958.5346556,5356.57162908571,6.3213444,4899.539,0,0,-457.033,-8.532,6.304,0,0,-0.017,-0.269
"S68_A_CHAMP_N","Les Champs",68,"A",18181.66,1823.4204,65.5516873889876,49.3233689,18266.0516290857,1739.02877091429,16707.564,0,0,-1558.488,-8.532,1734.146,0,0,-4.883,-0.281
"S68_A_ORZEN_N","Orzens",68,"A",911.7954,1514.4529,30.867511247928,10.8931912,996.187029085714,1430.06127091429,911.191,0,0,-84.996,-8.532,1426.046,0,0,-4.015,-0.281
"S68_A_WLIAM_N","Avenue William",68,"A",1194.802,3935.5857,36.4878597654862,16.1157945,1279.19362908571,3851.19407091429,1170.051,0,0,-109.143,-8.532,3840.381,0,0,-10.813,-0.281
"S68_A_COLLI_N","Colline",68,"A",617.27515,2565.419,70.0899727713981,13.7317304,701.666779085714,2481.02737091429,641.8,0,0,-59.867,-8.532,2474.061,0,0,-6.966,-0.281
"S68_A_CONVE_N","La Conversion, Gare",68,"A",16562.324,3607.5488,79.363981042654,49.483722,16646.7156290857,3523.15717091429,15226.399,0,0,-1420.317,-8.532,3513.265,0,0,-9.892,-0.281
"S68_A_CDESO_E","Corsy-Dessous",68,"A",867.38617,2517.592,77.0152879829343,24.5985782,951.777799085714,2433.20037091429,870.571,0,0,-81.207,-8.532,2426.369,0,0,-6.831,-0.281
"S68_A_MARIO_E","Marionnettes",68,"A",907.4868,7664.7227,62.2468286899822,23.1603461,991.878429085714,7580.33107091429,907.251,0,0,-84.627,-8.532,7559.048,0,0,-21.283,-0.281
"S68_A_PONFI_E","Ponfilet",68,"A",754.3607,4644.092,132.126022525193,21.2742146,838.752329085714,4559.70037091429,767.19,0,0,-71.562,-8.532,4546.898,0,0,-12.802,-0.281
"S68_A_BRULE_O","Brûlées",68,"A",1125.9973,6529.29,55.6224756474222,18.856313,1210.38892908571,6444.89837091429,1107.119,0,0,-103.27,-8.532,6426.803,0,0,-18.095,-0.281
