"origin","destination","time"
"LION_G ","BELVO_D",4181
"LION_G ","B-AIR_D",5123
"LION_G ","CHAND_O",4272
"LION_G ","MUDM_S ",4244
"LION_G ","VERRI_O",5130
"LION_G ","BRELA_N",5559
"LION_G ","MREPO_E",4444
"LION_G ","GBORD_N",5004
"LION_G ","GVIGN_N",6923
"LION_G ","ULAC_O ",7886
"LION_G ","BRUY_E ",3258
"LION_G ","MBLES_O",2172
"LION_G ","CH_B   ",5290
"LION_G ","LGDOC_N",5970
"LION_G ","SALA_A ",3458
"LION_G ","FLORI_E",7259
"LION_G ","LAC_O  ",7404
"LION_G ","RENTE_E",10101
"LION_G ","MORGS_E",6082
"LION_G ","RAMUZ_O",5375
"LION_G ","GCHAM_O",4019
"LION_G ","GREY_O ",5518
"LION_G ","VIGIE_R",5443
"LION_G ","FLUM_N ",7030
"LION_G ","SABL_O ",7475
"LION_G ","MOULN_O",8362
"LION_G ","CDRY_S ",7978
"LION_G ","PBERT_S",3314
"LION_G ","BOISY_N",5393
"LION_G ","BLIJO_D",5340
"LION_G ","PRY-C_O",6672
"LION_G ","EPFL_E ",9225
"LION_G ","SPAUL_A",5912
"LION_G ","BOSON_M",5410
"LION_G ","BSITE_N",5354
"LION_G ","LANDA_O",4732
"LION_G ","BGARD_E",5788
"LION_G ","R-14A_S",8508
"LION_G ","BVE_E  ",6301
"LION_G ","PRY_B  ",7099
"LION_G ","BGENT_S",5074
"LION_G ","ARGAN_S",8798
"LION_G ","BOISV_E",7010
"LION_G ","CPEAG_M",9859
"LION_G ","MALA_M ",6858
"LION_G ","20P2_O ",9401
"LION_G ","BNETT_F",7524
"LION_G ","PERET_O",9736
"LION_G ","BESS_S ",4482
"LION_G ","OUCHY_H",5933
"LION_G ","CAUDO_O",4474
"LION_G ","PLY-C_9",4780
"LION_G ","M-DUF_S",5771
"LION_G ","BOISS_M",3287
"LION_G ","CX-BL_S",1031
"LION_G ","CDRAI_N",6346
"LION_G ","MTETN_E",6194
"LION_G ","HOMEJ_S",5984
"LION_G ","VMOUL_M",4838
"LION_G ","ALPES_S",4944
"LION_G ","CAS_S  ",5039
"LION_G ","PPEL_E ",5778
"LION_G ","PIECE_E",3767
"LION_G ","CROCH_E",9208
"LION_G ","MBLES_E",2184
"LION_G ","MTSI_N ",5257
"LION_G ","FOREL_Y",6599
"LION_G ","CHAMP_S",6050
"LION_G ","VALON_N",3849
"LION_G ","DEVIN_O",3220
"LION_G ","SORGE_R",8816
"LION_G ","FEYY_M ",12362
"LION_G ","PONFI_O",5411
"LION_G ","GRRU_N ",7196
"LION_G ","CLAIE_E",2544
"LION_G ","RTCOU_E",6048
"LION_G ","RNEUV_S",5111
"LION_G ","SEZOO_M",6856
"LION_G ","BNOZ_N ",4104
"LION_G ","LVIAU_O",10328
"LION_G ","MONGE_E",9042
"LION_G ","ALLIE_N",3744
"LION_G ","SCIE_S ",8632
"LION_G ","ROTIL_N",4698
"LION_G ","RCFFS_O",8422
"LION_G ","SABL_E ",7407
"LION_G ","EPTES_S",5400
"LION_G ","GPONT_O",5551
"LION_G ","20P4_O ",8919
"LION_G ","BOST_E ",5495
"LION_G ","BNIER_E",5722
"LION_G ","VVERT_B",3540
"LION_G ","ARC-C_E",9344
"LION_G ","VUCH_S ",9362
"LION_G ","B-RIV_N",5831
"LION_G ","MMM_C  ",9386
"LION_G ","SAUVA_N",3778
"LION_G ","CHAMP_N",6046
"LION_G ","BLESS_O",4342
"LION_G ","MLINE_E",8329
"LION_G ","PLY-G_E",4734
"LION_G ","CHAFE_N",4598
"LION_G ","AUBER_S",7601
"LION_G ","LGDOC_S",5931
"LION_G ","SO_N   ",5045
"LION_G ","MALEY_F",6789
"LION_G ","PONTE_E",9026
"LION_G ","CLOCH_B",3738
"LION_G ","CLERG_E",4581
"LION_G ","CHASS_N",6396
"LION_G ","MTELY_F",6035
"LION_G ","CSROC_E",4584
"LION_G ","BDESS_S",7336
"LION_G ","PICAR_N",9067
"LION_G ","PPORT_E",5178
"LION_G ","GROUG_M",7434
"LION_G ","FELE_S ",9324
"LION_G ","20P1_O ",8677
"LION_G ","DENAN_O",5661
"LION_G ","ROUVN_O",4332
"LION_G ","RAPIL_S",6237
"LION_G ","OUCHY_E",6054
"LION_G ","CENSU_E",8170
"LION_G ","PBOU_O ",7528
"LION_G ","GTE_D  ",4814
"LION_G ","CLOSL_D",5098
"LION_G ","SSULP_O",10001
"LION_G ","MAIFR_E",4492
"LION_G ","CHPCU_N",10281
"LION_G ","CDRAI_S",6313
"LION_G ","DLICE_E",5629
"LION_G ","PSECH_B",1906
"LION_G ","CHAFE_S",4637
"LION_G ","GCHAM_T",3938
"LION_G ","CROIS_B",1859
"LION_G ","ROS_N  ",3437
"LION_G ","FORNI_O",6236
"LION_G ","CNIER_N",5313
"LION_G ","CROSE_N",9367
"LION_G ","CHLYV_O",3634
"LION_G ","GVESS_S",5854
"LION_G ","BNETT_B",7626
"LION_G ","PLANT_E",8963
"LION_G ","GGETT_S",4080
"LION_G ","PREAU_O",4931
"LION_G ","CDRTT_O",3611
"LION_G ","MTELY_D",5983
"LION_G ","SPAUL_O",5950
"LION_G ","VULLI_S",8491
"LION_G ","MGOUL_S",6371
"LION_G ","DRCOL_S",5165
"LION_G ","TIMON_T",9195
"LION_G ","ELYSE_O",5570
"LION_G ","BGNON_E",7194
"LION_G ","1-AOU_E",8213
"LION_G ","BOVRA_N",4012
"LION_G ","COTES_S",4072
"LION_G ","PROV_R ",6351
"LION_G ","CROND_N",3354
"LION_G ","BNOZ_S ",4106
"LION_G ","PROV_F ",6298
"LION_G ","REYM_E ",4897
"LION_G ","PLY-G_2",4853
"LION_G ","BDESS_D",7342
"LION_G ","RUISE_E",4385
"LION_G ","CAUDO_E",4434
"LION_G ","SIGNA_S",4056
"LION_G ","COTAG_O",6214
"LION_G ","ESPER_S",4780
"LION_G ","EPFL_L ",9443
"LION_G ","CAS_N  ",4955
"LION_G ","CROIX_S",5056
"LION_G ","GVIGN_S",6902
"LION_G ","PFRAN_O",5351
"LION_G ","SCIE_N ",8580
"LION_G ","CAP_E  ",4817
"LION_G ","EPTES_B",5435
"LION_G ","FORET_S",4416
"LION_G ","EPBIN_N",935
"LION_G ","PEREA_O",6949
"LION_G ","CHNAU_O",3241
"LION_G ","MT-OR_O",6047
"LION_G ","RIP_S  ",4990
"LION_G ","CDESO_E",5097
"LION_G ","JURA_N ",8952
"LION_G ","CONCO_E",8888
"LION_G ","NOUTE_N",8674
"LION_G ","20P6_O ",8096
"LION_G ","1-MAI_S",8204
"LION_G ","BO_T   ",4812
"LION_G ","GARE_S ",5149
"LION_G ","MARRO_O",5253
"LION_G ","RECOR_O",5853
"LION_G ","VENON_N",10452
"LION_G ","ROSES_N",4302
"LION_G ","MTNY_S ",10358
"LION_G ","PERON_O",1513
"LION_G ","CHTRE_O",10159
"LION_G ","R-HV_S ",7995
"LION_G ","HERMI_N",4461
"LION_G ","SUCHF_N",9069
"LION_G ","BOISV_O",7114
"LION_G ","JDILS_S",5672
"LION_G ","BENJC_N",4531
"LION_G ","ECMET_O",5898
"LION_G ","RAVES_O",2985
"LION_G ","MTELY_R",6052
"LION_G ","BGNON_O",7221
"LION_G ","CONVE_S",5113
"LION_G ","USSRO_N",6498
"LION_G ","PRBYT_O",5745
"LION_G ","BELVO_N",4227
"LION_G ","CHPCU_S",10249
"LION_G ","HTE-C_S",1126
"LION_G ","SCIO_O ",7110
"LION_G ","SSULP_E",9989
"LION_G ","MARCO_S",8993
"LION_G ","BOTTE_D",6892
"LION_G ","TIVOL_E",5517
"LION_G ","BUYE_S ",9713
"LION_G ","SROCH_E",5377
"LION_G ","GROUG_O",7434
"LION_G ","FAUCO_O",3514
"LION_G ","GARE_B ",5240
"LION_G ","NORD_E ",4523
"LION_G ","BROYE_O",7226
"LION_G ","ENJAL_S",9890
"LION_G ","BLIJO_E",5405
"LION_G ","PRY-C_N",6745
"LION_G ","PLANC_S",1481
"LION_G ","CPEAG_E",9948
"LION_G ","GALIC_E",6640
"LION_G ","GRAVX_E",6521
"LION_G ","VULET_S",849
"LION_G ","SORGE_O",8792
"LION_G ","RECOR_E",5788
"LION_G ","PIERF_E",5683
"LION_G ","VEILL_S",9338
"LION_G ","MLINS_O",4862
"LION_G ","VCLB_S ",1530
"LION_G ","VALNT_N",3526
"LION_G ","PREPA_D",3775
"LION_G ","COCAG_E",10067
"LION_G ","PAUDX_O",5118
"LION_G ","SALA_B ",3458
"LION_G ","TRAB_E ",4763
"LION_G ","GMONT_T",4268
"LION_G ","GVENN_O",3240
"LION_G ","3CHAS_E",2603
"LION_G ","CRARD_E",6119
"LION_G ","OSCHE_S",5112
"LION_G ","BOST_N ",5482
"LION_G ","CHT_T  ",1554
"LION_G ","PROVS_E",6325
"LION_G ","CPLAN_N",9688
"LION_G ","FEYY_D ",12313
"LION_G ","CHT_B  ",1554
"LION_G ","BOST_O ",5525
"LION_G ","TNEL_S ",4837
"LION_G ","CLERG_T",4629
"LION_G ","ULAC_E ",7914
