"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"167","LGDOC_N","Languedoc",6,"A",6,53335.938,4194.212
"168","M-DUF_N","Pont Marc Dufour",6,"A",7,72311.78,49464.977
"169","CECIL_N","Cécil",6,"A",8,71975.97,127632.84
"170","CH_E   ","Chauderon",6,"A",9,238888.33,209851.95
"171","B-AIR_C","Bel-Air",6,"A",10,289944.7,173640.28
"172","SF_P   ","St-François",6,"A",11,330791.4,151242.25
"173","BESS_N ","Bessières",6,"A",12,182646.81,164137.62
"174","OURS_E ","Ours",6,"A",13,226915.58,140537.5
"175","BETHU_N","Béthusy",6,"A",14,32038.877,162888.02
"176","ALLIE_N","Allières",6,"A",15,19149.316,94693.74
"177","VROSS_N","Virgile-Rossel",6,"A",16,25892.516,126970.05
"178","VALNT_N","Vallonnette",6,"A",17,47079.64,169721.25
"179","VRUFF_N","Victor-Ruffy",6,"A",18,3869.1768,43263.33
"180","SALA_A ","Sallaz",6,"A",19,464810.44,189800.9
"181","ST-ET_E","St-Etienne",6,"A",20,18554.38,40939.65
"182","VALMT_E","Valmont",6,"A",21,42443.8,190130.06
"183","FOYER_E","Foyer",6,"A",22,9224.055,127628.03
"184","BOVRE_N","Boveresses",6,"A",23,9971.895,238812.94
"185","PSECH_B","Praz-Séchaud",6,"A",24,0,311092.44
"186","PSECH_B","Praz-Séchaud",6,"R",1,285332.9,0
"187","BOVRE_S","Boveresses",6,"R",2,219289.53,13973.693
"188","FOYER_O","Foyer",6,"R",3,101447.56,7277.787
"189","VALMT_O","Valmont",6,"R",4,214021.31,23600.924
"190","ST-ET_O","St-Etienne",6,"R",5,31431.926,29715.18
"191","SALA_B ","Sallaz",6,"R",6,166759.55,439966.16
"192","VRUFF_S","Victor-Ruffy",6,"R",7,32928.72,7835.729
"193","VALNT_S","Vallonnette",6,"R",8,141871.83,39629.2
"194","VROSS_S","Virgile-Rossel",6,"R",9,99557.766,24664.758
"195","ALLIE_S","Allières",6,"R",10,55944.688,19608.045
"196","BETHU_O","Béthusy",6,"R",11,81158.625,47030.016
"197","OURS_O ","Ours",6,"R",12,60284.926,101796.42
"198","BESS_S ","Bessières",6,"R",13,103182.17,143309.56
"199","SF_O   ","St-François",6,"R",14,138454.3,276937.97
"200","B-AIR_O","Bel-Air",6,"R",15,181135.27,159284.8
"201","CH_O   ","Chauderon",6,"R",16,118765.375,177081.5
"202","PT-CH_S","Pont Chauderon",6,"R",17,113816.31,27919.105
"203","CECIL_S","Cécil",6,"R",18,72426.14,101245.305
"204","M-DUF_S","Pont Marc Dufour",6,"R",19,37176.086,75241.41
"205","LGDOC_S","Languedoc",6,"R",20,3833.1753,55229.523
"206","FNAY_O ","Fontenay",6,"R",21,5272.6885,93613.88
"207","MT-OR_O","Mont d'Or",6,"R",22,5495.8813,69416.46
"208","FIGUI_O","Figuiers",6,"R",23,2845.0398,105947.734
"209","MTOIE_O","Montoie",6,"R",24,3169.6465,86897.75
"210","MALAD_N","Maladière",6,"R",25,0,146957.34
"211","SF_O   ","St-François",7,"A",1,240627.78,851.3695
"212","B-AIR_N","Bel-Air",7,"A",2,321185.4,219211.95
"213","RIP_N  ","Riponne-M. Béjart",7,"A",3,232721.56,54673.336
"214","TNEL_E ","Tunnel",7,"A",4,82338.625,99309.69
"215","NORD_E ","Place du Nord",7,"A",5,55841.594,99146.58
"216","OURS_E ","Ours",7,"A",6,567178,86302.03
"217","BETHU_E","Béthusy",7,"A",7,46205.902,143166.12
"218","FAUCO_E","Fauconnières",7,"A",8,11606.751,98972.14
"219","PCHLY_E","Pont de Chailly",7,"A",9,118135.3,480874.88
"220","CHLYV_E","Chailly-Village",7,"A",10,14170.9,205132.9
"221","CDRTT_E","Coudrette",7,"A",11,2238.2485,77505.08
"222","ROS_E  ","Rosiaz",7,"A",13,2682.381,113911.44
"223","VVERT_T","Pully, Val-Vert",7,"A",14,0,296237.7
"224","VVERT_T","Pully, Val-Vert",7,"R",1,300420.47,0
"225","ROS_O  ","Rosiaz",7,"R",2,84511.53,5066.397
"226","CDRTT_O","Coudrette",7,"R",4,82894.86,4337.173
"227","CHLYV_O","Chailly-Village",7,"R",5,189440.98,14098.16
"228","PCHLY_O","Pont de Chailly",7,"R",6,588797.3,91783.41
"229","FAUCO_O","Fauconnières",7,"R",7,93841.69,16006.255
"230","BETHU_O","Béthusy",7,"R",8,100522.36,87429.66
"231","OURS_O ","Ours",7,"R",9,61098.11,369619.7
"232","BESS_S ","Bessières",7,"R",10,76184.484,253879.92
"233","SF_O   ","St-François",7,"R",11,3149.4568,455918.7
"234","VERRI_O","Verrière",8,"A",1,139249.45,0
"235","VIGNE_O","Vignes",8,"A",3,78366.13,3624.2905
"236","PPORT_O","Pully, port",8,"A",4,40358.09,4184.801
"237","SOMAI_O","Somais",8,"A",5,97535.51,14840.559
"238","CNIER_O","Châtaignier",8,"A",6,40309.973,3887.4731
"239","VRNEY_O","Verney",8,"A",7,38926.96,4410.8
"240","BNIER_O","Bourdonnière",8,"A",8,22726.79,3404.315
"241","THALD_O","Tour Haldimand",8,"A",9,56593.516,9989.588
"242","DENAN_O","Denantou",8,"A",11,23465.596,2703.7231
"243","MUSEO_O","Musée Olympique",8,"A",12,41453.5,49320.914
"244","MTSI_N ","Montchoisi",8,"A",13,173718.3,40899.41
"245","JURIG_N","Jurigoz",8,"A",14,63561.496,27068.078
"246","ALPES_N","Alpes",8,"A",15,65476.88,38202.742
"247","GTE_N  ","Georgette",8,"A",16,96621.875,128906.28
"248","SF_O   ","St-François",8,"A",17,197478.16,282177.62
"249","B-AIR_N","Bel-Air",8,"A",18,402794.8,183300.62
"250","RIP_N  ","Riponne-M. Béjart",8,"A",19,452290.88,88632.29
"251","TNEL_N ","Tunnel",8,"A",20,65328.67,77334.234
"252","MEMIS_N","Mémise",8,"A",21,54029.754,92453.63
"253","GBORD_N","Grande-Borde",8,"A",22,50284.805,183976.64
"254","VMOUL_M","Vieux-Moulin",8,"A",23,31817.426,107734.58
"255","ROUVR_N","Rouvraie",8,"A",24,40496.438,99687.14
"256","MOTTE_N","Motte",8,"A",25,15914.238,74040.77
"257","FORET_N","Forêt",8,"A",26,50590.64,196461.38
"258","BELVO_N","Bellevaux",8,"A",27,36076,138523.53
"259","GGETT_N","Grangette",8,"A",28,5971.705,58764.04
"260","RIONZ_N","Rionzi",8,"A",30,21586.363,78200.29
"261","MARTI_N","Martines",8,"A",31,9780.972,28797.64
"262","COTES_N","Côtes",8,"A",32,12752.167,58759.617
"263","PMONT_N","Petit-Mont",8,"A",33,14667.63,104540.58
"264","COPOP_N","Coppoz-Poste",8,"A",34,8444.457,75147.64
"265","COPOZ_N","Coppoz",8,"A",35,1433.1112,34451.477
