"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"mean_waiting_time"
9;"A";"CH_O   ";76,726194870904
9;"A";"CLERG_O";40,4481516290727
9;"A";"EGLAN_O";36,1977999865853
9;"A";"ESPER_O";33,118162512574
9;"A";"GALIC_E";19,7672281776417
9;"A";"GARE_N ";45,5824120603015
9;"A";"GPONT_O";29,7469914683431
9;"A";"GTE_E  ";40,8941176470588
9;"A";"GTE_N  ";40,2129688493325
9;"A";"GTE_O  ";37,7488949412868
9;"A";"HUTIN_O";29,1012264997584
9;"A";"LEMAN_O";28,7327252811124
9;"A";"LUTRY_B";408,007753680189
9;"A";"MARRO_O";29,8946588536405
9;"A";"MIRAB_N";24,369259606373
9;"A";"MLINS_O";31,9818149162588
9;"A";"MTETN_O";39,1763609589987
9;"A";"MTILL_O";26,3599301888481
9;"A";"PAUDX_O";30,2752233846706
9;"A";"PDETT_O";48,4574263621329
9;"A";"PEREA_O";24,4096168917984
9;"A";"PRELA_E";45,1965361445783
9;"A";"PRY-C_O";45,923045059143
9;"A";"PRY_B  ";13,9919077809798
9;"A";"PT-CH_S";43,8818604651163
9;"A";"PZROS_E";29,0287660862983
9;"A";"RECOR_E";19,1194590533434
9;"A";"REYM_O ";27,9779801732047
9;"A";"SF_O   ";80,4491654021244
9;"A";"SF_P   ";44,1015625
9;"A";"SPAUL_O";40,5730843528654
9;"A";"VALCY_O";29,4876662524737
9;"A";"VLARD_E";12,0572232645403
9;"A";"VOISD_O";57,4258273235829
9;"R";"B-AIR_C";61,4703361605755
9;"R";"B-AIR_O";34,4476600985222
9;"R";"BOST_E ";43,6844555873925
9;"R";"BOST_O ";21,228836301537
9;"R";"BOST_S ";44,9755598943379
9;"R";"CECIL_S";24,432893716059
9;"R";"CH_E   ";42,8472379430499
9;"R";"CH_O   ";71,3861361972175
9;"R";"CLERG_E";44,3891075821964
9;"R";"EGLAN_E";28,6009830205541
9;"R";"ESPER_E";37,6332648320229
9;"R";"GALIC_E";22,1153566229985
9;"R";"GALIC_O";8,61841457410143
9;"R";"GARE_N ";63,8157894736842
9;"R";"GPONT_E";31,386504444644
9;"R";"GTE_E  ";48,1055664298753
9;"R";"GTE_N  ";51,0550401978973
9;"R";"HUTIN_E";35,3367128767501
9;"R";"LEMAN_E";25,3091562981661
9;"R";"LUTRY_B";12,8397957806666
9;"R";"MARRO_E";27,6641224801329
9;"R";"MIRAB_N";19,4926184926185
9;"R";"MLINS_E";30,3426339536241
9;"R";"MTETN_E";67,9439374784507
9;"R";"MTILL_D";28,8465530353867
9;"R";"PAUDX_E";24,9908186858823
9;"R";"PDETT_E";39,4621809330266
9;"R";"PEREA_E";33,6092091631173
9;"R";"PRELA_E";50,14039497307
9;"R";"PRELA_O";22,6643049108234
9;"R";"PRY-C_E";44,7655318463274
9;"R";"PRY_B  ";332,075755831357
9;"R";"PT-CH_S";31,9988505747126
9;"R";"PZROS_E";32,9910201149425
9;"R";"PZROS_O";23,9680019540791
9;"R";"RECOR_E";22,830763714593
9;"R";"RECOR_O";32,978271484375
9;"R";"REYM_E ";26,0754636776517
9;"R";"RIVE_E ";19,8127598372997
9;"R";"SF_O   ";60,3959359605911
9;"R";"SF_P   ";70,790816213461
9;"R";"SPAUL_E";37,842241874354
9;"R";"VALCY_E";31,2726123143422
9;"R";"VLARD_E";11,8083785880528
9;"R";"VOISD_E";33,4665065325731
9;NA;"DP     ";NA
9;NA;"GALIC_E";NA
9;NA;"GALIC_O";NA
