"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","sigma_in","transferts_in","transferts_in%","diff_in","err_in%","sigma_out","transferts_out","transferts_out%","diff_out","err_out%"
"S2_A_OUCHY_E","Ouchy-Olympique",2,"A",61026.562,42647.297,71.7344523763586,45.7845847,60033.310968,43640.548032,55495.798,4439.684,7.395,-97.829,-0.163,42187.117,1485.919,3.405,32.488,0.074
"S2_A_B-RIV_N","Beau-Rivage",2,"A",30680.848,7290.177,45.8032934516918,31.9133706,29687.596968,8283.428032,29687.597,0,0,0,0,8286.303,0,0,2.875,0.035
"S2_A_JDILS_N","Jordils",2,"A",13322.135,6564.949,116.052729101594,19.0352502,12328.883968,7558.200032,12328.884,0,0,0,0,7560.824,0,0,2.624,0.035
"S2_A_CX-OY_N","Croix d'Ouchy",2,"A",108658.95,23061.953,53.3764544648376,35.1143233,107665.698968,24055.204032,107665.699,0,0,0,0,24063.554,0,0,8.35,0.035
"S2_A_MTFLI_N","Mont-Fleuri",2,"A",36845.145,19953.344,55.0455046364736,29.2736947,35851.893968,20946.595032,35851.894,0,0,0,0,20953.866,0,0,7.271,0.035
"S2_A_CLOSL_N","Closelet",2,"A",121837.33,58235.258,74.6393729159944,36.4405591,120844.078968,59228.509032,120844.079,0,0,0,0,59249.069,0,0,20.56,0.035
"S2_A_MIRAB_N","Mirabeau",2,"A",31646.14,32387.04,96.3869859365012,28.1248367,30652.888968,33380.291032,30652.889,0,0,0,0,14197.649,19431.319,58.212,248.677,0.745
"S2_A_GTE_N","Georgette",2,"A",74336.62,151193.44,164.602815324322,63.2015235,73343.368968,152186.691032,22003.011,54917.663,74.877,3577.305,4.877,112659.862,39987.097,26.275,460.268,0.302
"S2_A_SF_O","St-François",2,"A",192400.47,170814.72,138.504972344824,75.1757445,191407.218968,171807.971032,159852.95,31231.781,16.317,-322.488,-0.168,51560.283,121678.127,70.822,1430.439,0.833
"S2_A_B-AIR_N","Bel-Air",2,"A",234351.44,132294.34,114.891263654905,74.3004358,233358.188968,133287.591032,174719.692,57975.312,24.844,-663.185,-0.284,133333.514,0.342,0,46.265,0.035
"S2_A_RNEUV_N","Rue Neuve",2,"A",306419.78,61853.07,66.0014622603887,77.7165235,305426.528968,62846.321032,305426.529,0,0,0,0,62868.136,0,0,21.815,0.035
"S2_A_VAL_N","Valentin",2,"A",42720.914,65873.89,71.3239683933275,37.2319953,41727.662968,66867.141032,40944.051,767.345,1.839,-16.267,-0.039,34696.1,32184.695,48.132,13.654,0.02
"S2_A_VINET_O","Vinet",2,"A",29010.11,120734.94,71.8769861336598,36.4996408,28016.858968,121728.191032,28016.859,0,0,0,0,121770.445,0,0,42.254,0.035
"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",53941.887,45158.938,44.2232945179986,29.4423389,52948.635968,46152.189032,52947.459,1.169,0.002,-0.008,0,19696.641,26286.401,56.956,-169.147,-0.366
"S2_A_BLIEU_O","Beaulieu",2,"A",25900.426,100872.625,48.5668331296818,29.3961291,24907.174968,101865.876032,24907.175,0,0,0,0,101901.236,0,0,35.36,0.035
"S2_A_PRBYT_O","Presbytère",2,"A",10952.256,127633,82.0397918823498,28.1536949,9959.004968,128626.251032,9959.005,0,0,0,0,128670.9,0,0,44.649,0.035
"S2_A_BERG_O","Bergières",2,"A",129547.88,194187,98.1071988520103,41.4542221,128554.628968,195180.251032,128553.548,1.08,0.001,-0.001,0,134141.211,61033.238,31.27,-5.802,-0.003
"S2_A_GREY_O","Grey",2,"A",18323.748,69685.9,45.858148679526,25.9169036,17330.496968,70679.151032,17330.497,0,0,0,0,70703.685,0,0,24.534,0.035
"S2_A_PIERF_O","Pierrefleur",2,"A",13237.568,113232.83,40.3775144155396,27.0662363,12244.316968,114226.081032,12244.317,0,0,0,0,114265.731,0,0,39.65,0.035
