"id_i","tag_i","stop_i","line_i","direction_i","id_j","tag_j","stop_j","line_j","direction_j","number_of_transfers"
672,"S25_R_CENSU_O","Censuy",25,"R",777,"S33_A_CENSU_E","Censuy",33,"A",31409.5448011475
43,"S1_R_BATEL_O","Batelière",1,"R",664,"S25_R_BATEL_O","Batelière",25,"R",31408.1203418605
59,"S2_A_B-AIR_N","Bel-Air",2,"A",221,"S7_A_B-AIR_N","Bel-Air",7,"A",30742.0079249637
490,"S18_A_BDESS_M","Bourg-Dessus",18,"A",832,"S38_R_BDESS_S","Bourg-Dessus",38,"R",30647.1252011271
255,"S8_A_MOTTE_N","Motte",8,"A",112,"S3_R_MOTTE_S","Motte",3,"R",30635.3861786497
57,"S2_A_GTE_N","Georgette",2,"A",336,"S9_R_GTE_E","Georgette",9,"R",30602.2577585736
228,"S7_A_PCHLY_E","Pont de Chailly",7,"A",852,"S42_R_PCHLY_B","Pont de Chailly",42,"R",30597.8072109083
40,"S1_R_BGARD_S","Beauregard",1,"R",641,"S25_A_BGARD_E","Beauregard",25,"A",30579.7650149885
61,"S2_A_VAL_N","Valentin",2,"A",31,"S1_R_VAL_S","Valentin",1,"R",30497.2998140496
105,"S3_A_CAS_N","Casernes",3,"A",19,"S1_A_CAS_W","Casernes",1,"A",30158.1866449771
80,"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",116,"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",29903.475185807
1165,"S70_A_SORGE_F","UNIL-Sorge",70,"A",702,"S31_R_SORGE_O","UNIL-Sorge",31,"R",29708.2925816701
476,"S17_R_B-AIR_C","Bel-Air",17,"R",33,"S1_R_B-AIR_D","Bel-Air",1,"R",29536.1588113944
198,"S6_R_BESS_S","Bessières",6,"R",1209,"S72_R_BES","Bessières",72,"R",29392.2749347237
523,"S19_A_PZROS_O","Prélaz-les-Roses",19,"A",485,"S18_A_PZROS_O","Prélaz-les-Roses",18,"A",29391.4008439518
657,"S25_R_MTSI_S","Montchoisi",25,"R",243,"S8_A_MTSI_N","Montchoisi",8,"A",29209.522218825
883,"S46_A_CROIS_C","Epalinges, Croisettes",46,"A",974,"S62_A_CROIS_B","Epalinges, Croisettes",62,"A",28924.0262255447
215,"S7_R_PCHLY_O","Pont de Chailly",7,"A",852,"S42_R_PCHLY_B","Pont de Chailly",42,"R",28738.5819661575
313,"S9_A_GTE_O","Georgette",9,"A",12,"S1_A_GTE_N","Georgette",1,"A",28570.2485899257
132,"S4_A_SF_O","St-François",4,"A",220,"S7_A_SF_O","St-François",7,"A",28483.2275096041
509,"S18_R_PERRL_E","Perrelet",18,"R",469,"S17_R_PERRL_E","Perrelet",17,"R",28466.8024755676
156,"S4_R_MTSI_E","Montchoisi",4,"R",288,"S8_R_MTSI_S","Montchoisi",8,"R",28447.5512605179
58,"S2_A_SF_O","St-François",2,"A",132,"S4_A_SF_O","St-François",4,"A",28331.3269623432
595,"S22_R_VMOUL_S","Vieux-Moulin",22,"R",416,"S16_R_VMOUL_S","Vieux-Moulin",16,"R",28131.8717530127
220,"S7_A_SF_O","St-François",7,"A",422,"S16_R_SF_O","St-François",16,"R",28127.8894421142
954,"S49_R_CLERG_O","Pully, Clergère",49,"R",307,"S9_A_CLERG_O","Pully, Clergère",9,"A",27984.623019285
246,"S8_A_GTE_N","Georgette",8,"A",35,"S1_R_GTE_D","Georgette",1,"R",27838.1357176803
153,"S4_R_GTE_S","Georgette",4,"R",336,"S9_R_GTE_E","Georgette",9,"R",27796.0094230702
356,"S12_A_GTE_O","Georgette",12,"A",433,"S17_A_GTE_N","Georgette",17,"A",27739.1138048008
829,"S38_A_BDESS_N","Bourg-Dessus",38,"A",506,"S18_R_BDESS_D","Bourg-Dessus",18,"R",27735.1596705492
201,"S6_R_CH_O","Chauderon",6,"R",316,"S9_A_CH_O","Chauderon",9,"A",27319.4807766094
511,"S18_R_PZROS_E","Prélaz-les-Roses",18,"R",539,"S19_R_PZROS_E","Prélaz-les-Roses",19,"R",27198.9730811464
464,"S17_R_RCFFN_E","Renens-Gare nord",17,"R",724,"S32_A_RCFFN_N","Renens-Gare nord",32,"A",26764.44440684
12,"S1_A_GTE_N","Georgette",1,"A",361,"S12_R_GTE_E","Georgette",12,"R",26697.2298613158
246,"S8_A_GTE_N","Georgette",8,"A",57,"S2_A_GTE_N","Georgette",2,"A",25995.5086853138
802,"S33_R_CENSU_O","Censuy",33,"R",630,"S25_A_CENSU_E","Censuy",25,"A",25642.6371589405
638,"S25_A_BATEL_E","Batelière",25,"A",3,"S1_A_BATEL_E","Batelière",1,"A",25543.4927096373
219,"S7_R_BESS_S","Bessières",7,"A",394,"S16_A_PBESS_N","Pont Bessières",16,"A",25480.393733444
281,"S8_R_TNEL_S","Tunnel",8,"R",223,"S7_A_TNEL_E","Tunnel",7,"A",25453.089098235
334,"S9_R_B-AIR_C","Bel-Air",9,"R",283,"S8_R_B-AIR_D","Bel-Air",8,"R",24922.5259797394
661,"S25_R_BGARD_S","Beauregard",25,"R",6,"S1_A_BGARD_E","Beauregard",1,"A",24543.7142475337
171,"S6_A_B-AIR_C","Bel-Air",6,"A",59,"S2_A_B-AIR_N","Bel-Air",2,"A",24263.0550085744
151,"S4_R_B-AIR_C","Bel-Air",4,"R",59,"S2_A_B-AIR_N","Bel-Air",2,"A",24243.7287859759
283,"S8_R_B-AIR_D","Bel-Air",8,"R",151,"S4_R_B-AIR_C","Bel-Air",4,"R",24181.6220827548
474,"S17_R_BOST_E","Boston",17,"R",332,"S9_R_BOST_S","Boston",9,"R",23935.5403134411
424,"S16_R_CH_O","Chauderon",16,"R",436,"S17_A_CH_O","Chauderon",17,"A",23719.4949994181
744,"S32_R_R-14A_S","Renens-14 Avril",32,"R",464,"S17_R_RCFFN_E","Renens-Gare nord",17,"R",23539.5415062132
313,"S9_A_GTE_O","Georgette",9,"A",57,"S2_A_GTE_N","Georgette",2,"A",23268.4836236209
583,"S22_A_MOTTE_N","Motte",22,"A",112,"S3_R_MOTTE_S","Motte",3,"R",23266.7581773932
34,"S1_R_SF_S","St-François",1,"R",392,"S16_A_SF_P","St-François",16,"A",22941.4707382842
86,"S2_R_GTE_D","Georgette",2,"R",285,"S8_R_GTE_S","Georgette",8,"R",22820.1868171098
592,"S22_R_BELVO_D","Bellevaux",22,"R",110,"S3_R_BELVO_B","Bellevaux",3,"R",22786.8023117886
13,"S1_A_SF_O","St-François",1,"A",199,"S6_R_SF_O","St-François",6,"R",22506.5529615963
852,"S42_R_PCHLY_B","Pont de Chailly",42,"R",215,"S7_R_PCHLY_O","Pont de Chailly",7,"A",22395.0662872596
425,"S16_R_TIVOL_O","Tivoli",16,"R",1175,"S70_R_VIGIE_R","Vigie",70,"R",22003.9941926192
128,"S4_A_MTSI_N","Montchoisi",4,"A",657,"S25_R_MTSI_S","Montchoisi",25,"R",21970.8296741596
723,"S32_A_1-AOU_O","1er Août",32,"A",465,"S17_R_1-AOU_E","1er Août",17,"R",21887.960672066
82,"S2_R_VAL_S","Valentin",2,"R",32,"S1_R_RNEUV_S","Rue Neuve",1,"R",21737.0025986168
107,"S3_A_MOTTE_N","Motte",3,"A",594,"S22_R_MOTTE_S","Motte",22,"R",21558.4478377473
476,"S17_R_B-AIR_C","Bel-Air",17,"R",84,"S2_R_B-AIR_D","Bel-Air",2,"R",21440.5200561951
430,"S16_R_VJEUN_N","Vallée de la Jeunesse",16,"R",1177,"S70_R_PROV_R","Provence",70,"R",21283.4241937857
334,"S9_R_B-AIR_C","Bel-Air",9,"R",33,"S1_R_B-AIR_D","Bel-Air",1,"R",20859.2117115516
