"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
25,0.000217393809243176,6.94203308804012e-05,1.03357085529465e-05,3.33165588650781e-05,49.6746081597316,607,1194
26,0.000191908172939919,5.85797148821571e-05,8.38491524252064e-06,3.18304259789314e-05,46.2475149652319,607,1194
27,0.000173031525133541,5.1694247255438e-05,7.12027126040762e-06,3.01439502856665e-05,43.1729353200917,607,1194
28,0.000158530074037289,4.70404843184279e-05,8.62094237665965e-06,2.60627324813027e-05,40.541059752748,607,1194
29,0.000139477901554781,5.68566132306602e-05,1.88929889330268e-05,1.88929889329691e-05,66.6914286431922,1164,1194
30,0.000118103087164497,7.01885516117657e-05,2.49858571479746e-05,2.49858571478624e-05,93.1966147367216,1164,1194
31,0.000139819030260732,7.8561605509724e-05,2.90828603485699e-05,2.90828603485085e-05,109.076263507499,1164,1194
32,0.000152311756449366,8.28724504755322e-05,3.15285166322961e-05,3.15285166322234e-05,118.402343649013,1164,1194
33,0.000163212765025862,8.42675746839169e-05,3.2990895065861e-05,3.2990895065704e-05,123.468324124432,1164,1194
34,0.000169884156514572,8.38382910917004e-05,3.37627446325004e-05,3.37627446324051e-05,125.630606487826,1164,1194
35,0.000172709058477475,8.21560589953599e-05,3.40267111878548e-05,3.40267111878367e-05,125.76870632446,1164,1194
36,0.000172584837740005,7.96448406126985e-05,3.390753070887e-05,3.39075307088547e-05,124.481098851836,1164,1194
37,0.000170401274713486,7.67204722175444e-05,3.35609073766607e-05,3.35609073765665e-05,122.184753740599,1164,1194
38,0.000166794968976445,7.34370969756643e-05,3.29374010883824e-05,3.29374010883579e-05,119.143889683978,1164,1194
39,0.000162105342782845,6.99636276456283e-05,3.21321499196918e-05,3.21321499196067e-05,115.572501212618,1164,1194
40,0.00015674516861051,6.64237579514655e-05,3.11971982990665e-05,3.1197198299018e-05,111.616149200528,1164,1194
41,0.000150847256301965,6.30469296014213e-05,3.01640350092083e-05,3.01640350091946e-05,107.37322269995,1164,1194
42,0.000144509674074376,5.95135601359466e-05,2.90688669671261e-05,2.90688669670539e-05,103.000640039369,1164,1194
43,0.000138236411710029,5.59188395571726e-05,2.79222475974703e-05,2.79222475974028e-05,98.4763650522991,1164,1194
44,0.000131642715659991,5.24203789831924e-05,2.67184975076394e-05,2.67184975074454e-05,93.7884427933736,1164,1194
45,0.000124888859339264,4.90357560055152e-05,2.54603619884613e-05,2.54603619883636e-05,88.9750314974358,1164,1194
46,0.000118224318628922,4.57713376340177e-05,2.41598754519618e-05,2.41598754519213e-05,84.0751325460592,1164,1194
47,0.000111598517077416,4.26305645414301e-05,2.28295373844929e-05,2.2829537384459e-05,79.1235604552562,1164,1194
48,0.000105028607132287,3.96110461563626e-05,2.14801130098561e-05,2.14801130098232e-05,74.1513193848268,1164,1194
49,9.85323441761006e-05,3.67055865631594e-05,2.01214278217588e-05,2.01214278216045e-05,69.1867564992672,1164,1194
50,9.21348943212127e-05,3.39111183707108e-05,1.87632690047157e-05,1.87632690047626e-05,64.25647002906,1164,1194
51,8.58487020661277e-05,3.13048778695513e-05,1.74119713786344e-05,1.7411971378562e-05,59.3857370563846,1164,1194
52,7.96311686082681e-05,2.87933097109809e-05,1.60807813970515e-05,1.6080781397008e-05,54.6145104722855,1164,1194
53,7.37562347560972e-05,2.6351399018043e-05,1.47772957690415e-05,1.47772957689995e-05,49.9584919831591,1164,1194
54,6.80355468881445e-05,2.40061206174375e-05,1.3503933207608e-05,1.35039332075139e-05,45.4312561599231,1164,1194
55,6.24247947885099e-05,2.1763288843793e-05,1.22658471657651e-05,1.22658471657335e-05,41.0529798796883,1164,1194
56,5.6990460031542e-05,1.96280701300648e-05,1.10692291343682e-05,1.10692291343676e-05,36.8441298243042,1164,1194
57,5.17631198862663e-05,1.76038954473955e-05,9.92019293436428e-06,9.92019293432143e-06,32.8237977847061,1164,1194
58,4.67617424688382e-05,1.56934916680158e-05,8.82429203545891e-06,8.82429203533308e-06,29.0090352192774,1164,1194
59,4.19960619474661e-05,1.38986447835751e-05,7.78633963880643e-06,7.78633963869501e-06,25.4142825777772,1164,1194
60,3.7480866208595e-05,1.2220996771142e-05,6.81031759047586e-06,6.81031759047323e-06,22.0510683213656,1164,1194
61,3.32291895314645e-05,1.06614967513325e-05,5.89930889256033e-06,5.89930889261922e-06,18.9278261302643,1164,1194
62,2.92506228466988e-05,9.22116443353425e-06,5.05547642730388e-06,5.05547642726993e-06,16.0498247926353,1164,1194
63,2.55522444114811e-05,7.89810666671988e-06,4.28006218202287e-06,4.33455937015988e-06,13.4191497693796,1164,1194
64,2.21407171430826e-05,6.69062446074391e-06,3.57349485359826e-06,3.78086354693998e-06,11.0346773088313,1164,1194
65,1.90189908308119e-05,5.60095176102434e-06,2.93495354752004e-06,3.27421857318669e-06,8.89237877147934,1164,1194
66,1.61839027208419e-05,4.62164801555296e-06,2.36311027763394e-06,2.81417629330351e-06,7.64016570764414,1035,876
67,1.36281763643739e-05,3.74839391110502e-06,1.85709986932754e-06,2.39873122097255e-06,7.52322382306517,1035,876
68,1.13523706059984e-05,3.05931149363287e-06,1.42097561608836e-06,2.03631812667917e-06,7.40994755282225,1035,876
69,9.35047205571489e-06,2.40124894724845e-06,1.03544330754218e-06,1.71991708463526e-06,7.30015575654778,1035,876
70,7.64814105285104e-06,1.82016667767967e-06,7.04626725725486e-07,1.43902098737635e-06,7.19368831524343,1035,876
71,6.22832693716007e-06,1.3200277401819e-06,4.24923657310458e-07,1.19307184861032e-06,7.09038733609981,1035,876
72,5.12190284559408e-06,9.30150404863763e-07,2.16149163899901e-07,9.89325293687162e-07,6.99009987421482,1035,876
73,4.45373993865789e-06,7.90514684514116e-07,1.78227054567713e-07,8.72935553098141e-07,6.89293122203475,1035,876
74,4.46192779005057e-06,7.14115433947425e-07,1.50096112605299e-07,8.15261285357459e-07,6.799430004263,1035,876
75,4.35545638104204e-06,6.65614986313734e-07,1.31238960263539e-07,7.78138806622398e-07,6.70768667209762,1035,876
76,4.23027639227598e-06,6.32313204787021e-07,1.18784826584045e-07,7.51151653045213e-07,6.6182563867302,1035,876
77,4.12900287482571e-06,6.08740633547259e-07,1.10417213445807e-07,7.30464699064844e-07,6.53114750478903,1035,876
78,4.04598911393574e-06,5.91118084747263e-07,1.04684937397543e-07,7.13603515876052e-07,6.44628464074435,1035,876
79,3.97404134559156e-06,5.77399071374422e-07,1.00675047773779e-07,6.99228016504154e-07,6.36358713003779,1035,876
80,3.90914531563208e-06,5.6621688878294e-07,9.78006533265911e-08,6.86474138562994e-07,6.28297556472671,1035,876
81,3.84877807336795e-06,5.56748842300787e-07,9.56794522273566e-08,6.74825604189757e-07,6.20437365957071,1035,876
82,3.79177836347838e-06,5.48442998930993e-07,9.40600059228895e-08,6.63954945685226e-07,6.12770819591611,1035,876
83,3.73734593426804e-06,5.40945106394409e-07,9.27766155069523e-08,6.53657101924059e-07,6.05290918017346,1035,876
84,3.68492169077883e-06,5.34020940363178e-07,9.17197464591638e-08,6.43799774005839e-07,5.97990974585218,1035,876
85,3.63424438514487e-06,5.27516077284453e-07,9.08169752649177e-08,6.34296678105404e-07,5.90864605651399,1035,876
86,3.58489526075997e-06,5.2132752746988e-07,9.0020364671071e-08,6.2509033570695e-07,5.83905717829447,1035,876
87,3.53670803546609e-06,5.15386576695211e-07,8.92981427672066e-08,6.16141817237342e-07,5.77108494404041,1035,876
88,3.48956556626401e-06,5.09646897681085e-07,8.86292062398522e-08,6.07424057687684e-07,5.70467381363585,1035,876
89,3.44340154989571e-06,5.04076986022427e-07,8.79995004515557e-08,5.98917692806821e-07,5.6397707383021,1035,876
90,3.39816048096341e-06,4.98655098265188e-07,8.7399628321467e-08,5.90608369584778e-07,5.57632502932444,1035,876
91,3.35380310608002e-06,4.9336595764702e-07,8.68232730857756e-08,5.82485038787459e-07,5.51428823287915,1035,876
92,3.3103194520282e-06,4.88198572646777e-07,8.62661561758039e-08,5.74538851902603e-07,5.45361401120761,1035,876
93,3.26766621408721e-06,4.831448088134e-07,8.57253489900537e-08,5.66762450133373e-07,5.3942580303617,1035,876
94,3.22582770742869e-06,4.78198444986629e-07,8.51988182415594e-08,5.59149502812554e-07,5.33617785437923,1035,876
95,3.18478696614419e-06,4.73355573556881e-07,8.46851253958525e-08,5.51694406429304e-07,5.27933284568752,1035,876
96,3.14454026703347e-06,4.68613946566224e-07,8.41832280995309e-08,5.44392086521862e-07,5.2236840714553,1035,876
97,3.1050704273045e-06,4.6396720385499e-07,8.36923489785429e-08,5.37237865628465e-07,5.16919421555144,1035,876
98,3.06636364939955e-06,4.59412326901251e-07,8.32118887246389e-08,5.30227376528953e-07,5.11582749579082,1035,876
99,3.02837439063798e-06,4.54946598026609e-07,8.27413686226259e-08,5.23356501545875e-07,5.06354958613645,1035,876
100,2.99109431133548e-06,4.50567528039452e-07,8.22803924958487e-08,5.16621331647656e-07,5.01232754352856,1035,876
101,2.95450507636113e-06,4.46272796386351e-07,8.18286215026392e-08,5.10018137830435e-07,4.96212973906262,1035,876
102,2.91859858755187e-06,4.42060217716215e-07,8.13857571897816e-08,5.03543349068099e-07,4.91292579319287,1035,876
103,2.88336706638677e-06,4.37927715056864e-07,8.0951530446307e-08,4.97193537986279e-07,4.86468651473893,1035,876
104,2.84879177388562e-06,4.33873304300117e-07,8.05256938662845e-08,4.90965408253284e-07,4.81738384339332,1035,876
105,2.81486159382687e-06,4.29895079548233e-07,8.01080167066373e-08,4.84855784680763e-07,4.7709907955537,1035,876
106,2.78156711608897e-06,4.25991209275013e-07,7.96982815040622e-08,4.78861606339041e-07,4.72548141321039,1035,876
107,2.74890623046347e-06,4.22159919940516e-07,7.92962816500876e-08,4.7297991870163e-07,4.68083071573102,1035,876
108,2.71688891822525e-06,4.18399502878802e-07,7.89018197865873e-08,4.67207869182199e-07,4.6370146543228,1035,876
109,2.68547390589562e-06,4.1470830149524e-07,7.85147065263546e-08,4.6154270151719e-07,4.59401006902357,1035,876
110,2.65464451529348e-06,4.11084710452979e-07,7.8134759722775e-08,4.55981750708497e-07,4.55179464804741,1035,876
111,2.62439076939941e-06,4.07527174954979e-07,7.77618037216481e-08,4.50522439378222e-07,4.51034688934146,1035,876
112,2.59470686378035e-06,4.04034186254898e-07,7.73956689123405e-08,4.45162273760914e-07,4.46964606421335,1035,876
113,2.56560240342714e-06,4.00604278661271e-07,7.70361913267939e-08,4.39898840227073e-07,4.4296721828909,1035,876
114,2.53709994467412e-06,3.97236030796378e-07,7.66832122494274e-08,4.34729801176491e-07,4.39040596192604,1035,876
115,2.50915673075214e-06,3.93928061982434e-07,7.63365780653091e-08,4.29652892843763e-07,4.35182879328295,1035,876
116,2.48176255848726e-06,3.90679028088928e-07,7.59961398557421e-08,4.24665921773888e-07,4.3139227150578,1035,876
117,2.4548944013272e-06,3.87487626061539e-07,7.56617533347021e-08,4.19766761815573e-07,4.27667038368241,1035,876
118,2.42852843577129e-06,3.84352585971501e-07,7.5333278481211e-08,4.14953351891858e-07,4.24005504758048,1035,876
119,2.40267726739432e-06,3.81272673945463e-07,7.50105795157398e-08,4.10223692800663e-07,4.20406052212718,1035,876
120,2.37732514419466e-06,3.78246691492013e-07,7.46935246538404e-08,4.05575845282224e-07,4.16867116589327,1035,876
121,2.352440210473e-06,3.75273468262592e-07,7.43819859599563e-08,4.01007928084627e-07,4.13387185805698,1035,876
122,2.32802318821869e-06,3.72351868820266e-07,7.40758391615444e-08,3.96518114601794e-07,4.09964797694249,1035,876
123,2.30406611835965e-06,3.69480786184127e-07,7.37749635990327e-08,3.92104631813294e-07,4.06598537960321,1035,876
124,2.28055382576507e-06,3.66659142106428e-07,7.34792419478617e-08,3.87765758164826e-07,4.03287038240779,1035,876
125,2.25746582425875e-06,3.63885887454626e-07,7.31885602954312e-08,3.83499820973778e-07,4.00028974255162,1035,876
126,2.23479710876126e-06,3.61160000302356e-07,7.2902807835447e-08,3.79305195402562e-07,3.96823064046282,1035,876
127,2.2125418767605e-06,3.58480482093014e-07,7.26218768295325e-08,3.75180302553118e-07,3.93668066304446,1035,876
128,2.19069235344e-06,3.55846365005634e-07,7.23456625098776e-08,3.71123607224832e-07,3.90562778769555,1035,876
129,2.16926579881113e-06,3.53256699692538e-07,7.20740629605369e-08,3.6713361726021e-07,3.87506036708589,1035,876
130,2.14826662724011e-06,3.5071056601719e-07,7.18069789988814e-08,3.63208881411248e-07,3.84496711464828,1035,876
131,2.12768495716823e-06,3.48207061194674e-07,7.1544314089018e-08,3.59347988386246e-07,3.81533709071442,1035,876
132,2.10750664350595e-06,3.45745311032366e-07,7.12859743059515e-08,3.55549564947767e-07,3.78615968930495,1035,876
133,2.08769875602492e-06,3.43324457317946e-07,7.10318681555464e-08,3.51812274659128e-07,3.75742462551318,1035,876
134,2.06824812277179e-06,3.40943666221801e-07,7.07819065795078e-08,3.48134817063721e-07,3.72912192345257,1035,876
135,2.04914402867691e-06,3.38602121962174e-07,7.05360028052048e-08,3.4451592654327e-07,3.70124190474303,1035,876
136,2.03039311055563e-06,3.36299030669501e-07,7.0294072286045e-08,3.40954370118605e-07,3.67377517751532,1035,876
137,2.01198723969323e-06,3.3597248297654e-07,7.0056032708688e-08,3.37904357285451e-07,3.64671262588826,1035,876
138,1.9940524086387e-06,3.34037114561835e-07,6.98422533285009e-08,3.34522524941163e-07,3.62004530313533,1035,876
139,1.97630498520038e-06,3.32044034941696e-07,6.96202957662715e-08,3.31203581453024e-07,3.59376461385261,1035,876
