"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out"
"S3_R_BELVO_B","Bellevaux",3,"R",252734.69,0,110.359044635865,411.1804156,251955.221104545,0
"S3_R_FORET_S","Forêt",3,"R",212402.88,10183.737,55.8572062315702,37.0819107,211623.411104545,10963.2058954545
"S3_R_MOTTE_S","Motte",3,"R",158345.44,18740.543,76.8848523817178,42.4459174,157565.971104545,19520.0118954545
"S3_R_VMOUL_O","Vieux-Moulin",3,"R",65874.82,16141.721,92.3522792693777,35.4561873,65095.3511045455,16921.1898954545
"S3_R_CAS_S","Casernes",3,"R",128189.805,54767.52,44.629598618452,35.8148061,127410.336104545,55546.9888954545
"S3_R_MTBLC_S","Mont-Blanc",3,"R",77945.8,12620.656,80.3202385311503,28.6668324,77166.3311045455,13400.1248954545
"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",54805.312,100643.46,94.4743714113421,46.3427316,54025.8431045455,101422.928895455
"S3_R_SROCH_S","St-Roch",3,"R",105110.34,101766.305,108.860355991297,36.2223067,104330.871104545,102545.773895455
"S3_R_PT-CH_S","Pont Chauderon",3,"R",261413.34,195913.12,74.2421748020762,37.3147561,260633.871104545,196692.588895455
"S3_R_CECIL_S","Cécil",3,"R",98043.35,86792.83,82.6253051581572,31.5195827,97263.8811045455,87572.2988954545
"S3_R_VLARD_E","Villard",3,"R",7978.6807,46509.95,86.6692150170648,19.3644573,7199.21180454546,47289.4188954545
"S3_R_GARE_B","Lausanne-Gare",3,"R",0,761616.3,NA,10.4995495,0,762395.768895455
"S4_A_PLY-G_1","Pully, gare",4,"A",235461.72,0,40.7554121902499,367.6240518,235510.161568421,0
"S4_A_PREAU_O","Préau",4,"A",29901.617,2572.1184,41.1821887485153,16.5757977,29950.0585684211,2523.67683157895
"S4_A_JOLTT_O","Joliette",4,"A",53890.664,12373.682,62.4330795810388,23.3358439,53939.1055684211,12325.2404315789
"S4_A_RAMUZ_O","C. F. Ramuz",4,"A",74851.38,32350.648,56.4775285448214,24.5990174,74899.8215684211,32302.2064315789
"S4_A_PPTAY_O","Pierraz-Portay",4,"A",57381.273,22312.393,38.3239581083999,24.2627743,57429.7145684211,22263.9514315789
"S4_A_METAI_O","Métairie",4,"A",33552.812,18844.934,70.8245041221125,19.7549935,33601.2535684211,18796.4924315789
"S4_A_MTSI_N","Montchoisi",4,"A",162252.02,42437.617,52.934511491123,39.106005,162300.461568421,42389.1754315789
"S4_A_JURIG_N","Jurigoz",4,"A",61188.203,18239.934,87.1930063454887,60.9359819,61236.6445684211,18191.4924315789
"S4_A_ALPES_N","Alpes",4,"A",58172.25,31740.578,93.1230325571367,30.6000163,58220.6915684211,31692.1364315789
"S4_A_GTE_N","Georgette",4,"A",78700.31,100818.03,165.171409214092,64.3807727,78748.7515684211,100769.588431579
"S4_A_SF_O","St-François",4,"A",211416.38,274651.47,145.940810212323,78.0709037,211464.821568421,274603.028431579
"S4_A_B-AIR_O","Bel-Air",4,"A",306389.6,152759.66,80.966487133453,43.8305849,306438.041568421,152711.218431579
"S4_A_CH_O","Chauderon",4,"A",315895.5,121680.58,130.768687244329,79.9572503,315943.941568421,121632.138431579
"S4_A_ECOMM_N","Ecole Commerce",4,"A",39258.508,167715.34,84.9690483154732,37.7722998,39306.9495684211,167666.898431579
"S4_A_AUBEP_N","Aubépines",4,"A",21310.994,127433.84,87.8866464582004,31.9920228,21359.4355684211,127385.398431579
"S4_A_DRANS_N","Dranse",4,"A",14467.126,124142.33,74.0130605947758,30.5670602,14515.5675684211,124093.888431579
"S4_A_BETHA_N","Béthanie",4,"A",6899.541,156102.08,45.2376177049529,30.1928499,6947.98256842105,156053.638431579
"S4_A_RAPIL_N","Rapille",4,"A",2450.0244,109997.36,42.1306591477363,26.2004841,2498.46596842105,109948.918431579
"S4_A_MGOUL_N","Mont-Goulin",4,"A",1075.6024,81643.32,27.9611108155557,25.0167314,1124.04396842105,81594.878431579
"S4_A_CDRAI_N","Coudraie",4,"A",0,168540.39,NA,8.5839496,0,168491.948431579
"S4_R_CDRAI_N","Coudraie",4,"R",131503.94,0,60.4980685323625,559.0884626,130416.205423684,0
"S4_R_CDRAI_B","Coudraie",4,"R",52520.906,1895.5259,42.2559490715001,30.5438957,51433.1714236842,2983.26047631579
"S4_R_MGOUL_S","Mont-Goulin",4,"R",75860.94,1612.5581,53.4200155633372,26.3672023,74773.2054236842,2700.29267631579
