"code_arret_theo","libelle_arret_theo","lat_arret","lon_arret"
"MONTO_E","""Montolieu""",46.54315,6.644043
"MEZ-V_O","""Mézières VD, village""",46.59609,6.770192
"1-AOU_O","""1er Août""",46.536827,6.582044
"EPNEX_E","""Epenex""",46.538425,6.575396
"SEGLI_O","""Sous l'Eglise""",46.535355,6.588247
"VIRET_N","""Pierre Viret""",46.52301,6.634004
"PREPA_M","""Pré Pariset""",46.51948,6.667041
"VVERT_P","""Pully, Val-Vert""",46.5219,6.666967
"CIGAL_E","""Cigale""",46.543327,6.647287
"CHATL_S","""Cheseaux-sur-Lausanne, Châtelard""",46.5781,6.592179
"BELVO_B","""Bellevaux""",46.53895,6.633988
"ZING_N ","""Zinguerie""",46.54412,6.571081
"MPREV_N","""Montpreveyres, village""",46.582676,6.74339
"MATHY_N","""Chalet à Matthey""",46.550842,6.691316
"VALMT_O","""Valmont""",46.535316,6.655369
"R-VIL_O","""Renens-Village""",46.532543,6.592475
"VULLI_N","""Vulliens, Halte TL""",46.614845,6.779764
"ST-ET_O","""St-Etienne""",46.534466,6.648498
"VALMT_E","""Valmont""",46.5352,6.655488
"GCHEM_N","""Grand Chemin""",46.55452,6.684092
"MEMIS_N","""Mémise""",46.5278,6.633059
"MAUVE_S","""Mauvernay""",46.564552,6.68883
"CHAND_E","""Chandolin""",46.517395,6.64476
"CHBR_F ","""UNIL-Chamberonne""",46.524128,6.584839
"ECHA_B ","""Echallens""",46.639515,6.633311
"RIP_N  ","""Riponne-M. Béjart""",46.523594,6.632379
"SUVI_N ","""Sugnens, village""",46.65513,6.671788
"CLERG_O","""Pully, Clergère""",46.511463,6.6615
"CHUV_S ","""CHUV""",46.52651,6.641225
"JURIG_S","""Jurigoz""",46.512524,6.636818
"PAVEM_N","""Pavement""",46.54142,6.634225
"MALAD_N","""Maladière""",46.51752,6.604869
"E-HOT_S","""Ecole Hôtelière""",46.562084,6.682878
"ABEIL_N","""Abeilles""",46.541267,6.64823
"NORD_O ","""Place du Nord""",46.52551,6.637121
"CHEVR_S","""Chevreuils""",46.55855,6.696647
"PERRL_E","""Perrelet""",46.52951,6.599744
"PIERF_O","""Pierrefleur""",46.53495,6.616502
"ENCOU_S","""Villars-Ste-Croix, En Coulaye""",46.565792,6.559163
"CH_N   ","""Chauderon""",46.52418,6.625137
"FAUCO_E","""Fauconnières""",46.52537,6.649896
"BLIEU_O","""Beaulieu""",46.52823,6.623434
"MONGE_O","""Mongevon""",46.548504,6.573331
"ETAVZ_N","""Le Mont-s-L., Etavez""",46.566402,6.634257
"BOCHT_N","""Bochet""",46.51331,6.559496
"GRRU_S ","""Mézières VD, centre médical""",46.592026,6.77096
"GRATT_N","""Grattapaille""",46.536713,6.61886
"CX-OR_O","""Carrouge VD, Croix d'Or""",46.598675,6.764679
"BESS_N ","""Bessières""",46.520912,6.637502
"LYGAR_O","""Lutry, gare""",46.505016,6.688327
"BETHU_E","""Béthusy""",46.521828,6.646976
"COLLI_S","""Colline""",46.510826,6.679008
"SANSY_O","""Villars-Ste-Croix, Sansy""",46.568256,6.565176
"COPOZ_S","""Coppoz""",46.559467,6.635808
"CHAVP_D","""Chavannes-R., Plaine""",46.528397,6.572272
"LEMAN_E","""Avenue du Léman""",46.515633,6.645203
"BASS_R ","""Bassenges""",46.525227,6.564959
"CNAX_O ","""Grandvaux, Chenaux""",46.493904,6.728522
"APER_N ","""Perronet""",46.52202,6.565102
"CAS_W  ","""Casernes""",46.532063,6.627664
"GTE_S  ","""Georgette""",46.51749,6.6378
"MLIN_N ","""Cugy VD, Le Moulin""",46.588898,6.6426
"BARRE_N","""Barre""",46.525745,6.636062
"CX-OY_N","""Croix d'Ouchy""",46.512135,6.629749
"CHT_S  ","""Chalet-à-Gobet""",46.564865,6.691343
"CHASS_S","""Prilly-Chasseur""",46.538494,6.606383
"CROCH_F","""Crochy""",46.532463,6.569808
"VVERT_D","""Pully, Val-Vert""",46.5219,6.666967
"SF_B   ","""St-François""",46.519493,6.6339
"M-DUF_N","""Pont Marc Dufour""",46.519047,6.618047
"BAUM_N ","""Baumettes""",46.543736,6.59024
"LION_N ","""Lion d'Or""",46.55208,6.681219
"PONFI_E","""Ponfilet""",46.51319,6.689478
"CLOSY_S","""Vucherens, Closy""",46.62818,6.783009
"RUSEL_E","""Russel""",46.51524,6.564729
"VLARS_S","""Villars""",46.52936,6.56089
"ARGAN_N","""Argand""",46.52072,6.5719
"PLANT_O","""Planta""",46.534386,6.572945
"MOLLT_S","""Molliettes""",46.552998,6.693581
"RAPIL_N","""Rapille""",46.536842,6.612119
"FLON_N ","""Lausanne-Flon""",46.52031,6.631034
"BESS_B ","""Bessières""",46.52094,6.637267
"ECORC_E","""Carrouge VD, Ecorcheboeuf""",46.597473,6.759512
"CRAIV_S","""Craivavers""",46.53139,6.659193
"DOLE_E ","""Dorigny-Léman""",46.527775,6.582839
"LIAUD_N","""Les Liaudes""",46.51786,6.656534
"BRETI_N","""Bretigny-sur-Morrens, croisée""",46.598076,6.646902
"PREYV_S","""Pré-d'Yverdon""",46.543846,6.672755
"PECH_E ","""Pêcheurs""",46.50945,6.620499
"RUSEL_O","""Russel""",46.515182,6.564235
"PRY_D  ","""Prilly, Eglise""",46.53902,6.598775
"SORGE_F","""UNIL-Sorge""",46.52224,6.573257
"PAVIL_O","""Pavillard""",46.51981,6.658643
"ECHER_E","""Lutry, Echerins""",46.518475,6.700781
"L-CHA_N","""Les Chavannes""",46.530575,6.658201
"MAROL_N","""Margerol""",46.520035,6.661012
"ENJAL_N","""En Enjalin""",46.524574,6.557188
"BLIJO_M","""Beaulieu-Jomini""",46.527603,6.626663
"ECRO_E ","""Echallens, La Robellaz""",46.64062,6.642006
"PCHLY_B","""Pont de Chailly""",46.526512,6.652017
"CDESU_N","""Corsy-Dessus""",46.514915,6.6863
"GTE_E  ","""Georgette""",46.517666,6.638501
"R-CFF_F","""Renens-Gare""",46.53773,6.577571
"VIGNE_O","""Vignes""",46.507244,6.665287
"PRY-C_S","""Prilly, Centre""",46.535557,6.60609
"MORP_E ","""Morrens VD, Poste""",46.590176,6.629858
"EGLAN_E","""Eglantine""",46.51602,6.642643
"PPORT_O","""Pully, port""",46.506718,6.660604
"CDRAI_O","""Coudraie""",46.540146,6.609917
"RASUD_O","""Rasude""",46.517105,6.632971
"PUBLO_E","""Savigny, Publoz""",46.541805,6.715846
"BNEN_E ","""Bourdonnette nord""",46.5248,6.589234
"FLORI_O","""Florissant""",46.532974,6.598543
"PBOU_E ","""Parc Bourget""",46.51884,6.593641
"ARC-C_O","""Arc-en-Ciel""",46.545376,6.568127
"MOULN_E","""Mouline""",46.526077,6.579621
"FOYER_E","""Foyer""",46.53343,6.659828
"BLVDR_E","""Belvédère""",46.520847,6.616938
"AUBER_N","""Servion, Clos de l'Auberge""",46.568344,6.782157
"PMONT_N","""Petit-Mont""",46.554398,6.634775
"VENOS_E","""Venoge sud""",46.512707,6.546592
"SAVOI_N","""Savoie""",46.516148,6.701178
