"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time"
"S4_A_SF_O","St-François",4,"A",211416.38,274651.47,145.940810212323,78.0709037
"S4_A_B-AIR_O","Bel-Air",4,"A",306389.6,152759.66,80.966487133453,43.8305849
"S4_A_CH_O","Chauderon",4,"A",315895.5,121680.58,130.768687244329,79.9572503
"S4_A_ECOMM_N","Ecole Commerce",4,"A",39258.508,167715.34,84.9690483154732,37.7722998
"S4_A_AUBEP_N","Aubépines",4,"A",21310.994,127433.84,87.8866464582004,31.9920228
"S4_A_DRANS_N","Dranse",4,"A",14467.126,124142.33,74.0130605947758,30.5670602
"S4_A_BETHA_N","Béthanie",4,"A",6899.541,156102.08,45.2376177049529,30.1928499
"S4_A_RAPIL_N","Rapille",4,"A",2450.0244,109997.36,42.1306591477363,26.2004841
"S4_A_MGOUL_N","Mont-Goulin",4,"A",1075.6024,81643.32,27.9611108155557,25.0167314
"S4_A_CDRAI_N","Coudraie",4,"A",0,168540.39,NA,8.5839496
"S4_R_CDRAI_N","Coudraie",4,"R",131503.94,0,60.4980685323625,559.0884626
"S4_R_CDRAI_B","Coudraie",4,"R",52520.906,1895.5259,42.2559490715001,30.5438957
"S4_R_MGOUL_S","Mont-Goulin",4,"R",75860.94,1612.5581,53.4200155633372,26.3672023
"S4_R_RAPIL_S","Rapille",4,"R",106390.73,4781.2085,48.0016394809237,29.6141682
"S4_R_BETHA_S","Béthanie",4,"R",123994.89,10185.688,77.845602334306,30.0050574
"S4_R_DRANS_S","Dranse",4,"R",124927.25,18156.03,119.578072443221,34.6017785
"S4_R_ECOMM_S","Ecole Commerce",4,"R",90554.234,47500.562,111.192298067566,35.0863425
"S4_R_SROCH_E","St-Roch",4,"R",38361.547,86444.83,73.8226232516753,66.6317253
"S4_R_ALE_O","Chauderon-Ale",4,"R",29686.598,147982.9,134.876067781519,42.482051
"S4_R_B-AIR_C","Bel-Air",4,"R",204399.62,234694.16,153.051309041835,56.3419069
"S4_R_SF_S","St-François",4,"R",247394.69,158141.9,101.579563713609,64.8041835
"S4_R_GTE_S","Georgette",4,"R",91463.33,51441.586,88.9473268943001,56.8787276
"S4_R_ALPES_S","Alpes",4,"R",17339.395,51106.17,94.3247258577998,49.464345
"S4_R_JURIG_S","Jurigoz",4,"R",6528.1094,72114.08,67.7094887757027,30.5840113
"S4_R_MTSI_E","Montchoisi",4,"R",45216.06,113382.1,45.7639106265853,41.0475921
"S4_R_METAI_E","Métairie",4,"R",13718.313,27563.855,36.6374382641082,18.7142857
"S4_R_PPTAY_E","Pierraz-Portay",4,"R",13173.639,54975.523,57.7801494994198,24.0979678
"S4_R_RAMUZ_E","C. F. Ramuz",4,"R",22137.904,78748.23,64.246087425796,25.4981515
"S4_R_JOLTT_E","Joliette",4,"R",7343.425,60141.08,45.154956559279,24.9948192
"S4_R_PLY-G_1","Pully, gare",4,"R",0,180313.62,NA,12.7435634
"S6_A_MALAD_N","Maladière",6,"A",175278.2,0,91.1304035973406,477.8640141
"S6_A_MTOIE_E","Montoie",6,"A",107241.625,9345.049,82.4553480288024,35.0166074
"S6_A_FIGUI_E","Figuiers",6,"A",122777.9,7629.784,49.5205589153067,34.1861671
"S6_A_MT-OR_E","Mont d'Or",6,"A",80856.79,6038.8457,82.6878552116096,29.23174
"S6_A_FNAY_N","Fontenay",6,"A",114860.58,9123.109,39.2588342390555,33.0867958
"S6_A_LGDOC_N","Languedoc",6,"A",53335.906,4194.2163,52.1467188922296,25.9323605
"S6_A_M-DUF_N","Pont Marc Dufour",6,"A",72311.76,49464.984,131.197424300921,31.9846358
"S6_A_CECIL_N","Cécil",6,"A",71975.97,127632.7,147.783063092874,68.8672164
"S6_A_CH_E","Chauderon",6,"A",238888.36,209852.12,104.237698911223,44.4819202
"S6_A_B-AIR_C","Bel-Air",6,"A",289944.62,173640.36,146.72930935327,59.5797215
"S6_A_SF_P","St-François",6,"A",330791.12,151242.1,170.623030904674,70.2546756
"S6_A_BESS_N","Bessières",6,"A",182646.75,164137.6,107.107881760547,46.9275843
"S6_A_OURS_E","Ours",6,"A",226915.81,140537.44,104.802874957606,47.1760025
"S6_A_BETHU_N","Béthusy",6,"A",32038.893,162888.05,43.7956691886251,36.0615168
"S6_A_ALLIE_N","Allières",6,"A",19149.318,94693.72,44.7031461963894,27.4972085
"S6_A_VROSS_N","Virgile-Rossel",6,"A",25892.5,126970.06,55.4675345003,28.5836638
"S6_A_VALNT_N","Vallonnette",6,"A",47079.69,169721.03,53.0856181358099,32.1926017
"S6_A_VRUFF_N","Victor-Ruffy",6,"A",3869.1743,43263.31,105.949976527046,21.8765815
"S6_A_SALA_A","Sallaz",6,"A",464810.25,189801.03,95.4507845188285,65.008033
"S6_A_ST-ET_E","St-Etienne",6,"A",18554.377,40939.637,72.2292582130153,20.1564592
"S6_A_VALMT_E","Valmont",6,"A",42443.77,190130.06,62.5896094383551,33.320046
"S6_A_FOYER_E","Foyer",6,"A",9224.054,127628.11,80.2768156132273,30.4187878
"S6_A_BOVRE_N","Boveresses",6,"A",9971.898,238812.89,45.2143230938301,30.9076496
"S6_A_PSECH_B","Praz-Séchaud",6,"A",0,311092.66,NA,12.0704118
"S6_R_PSECH_B","Praz-Séchaud",6,"R",285332.9,0,94.8866119504417,376.9441932
"S6_R_BOVRE_S","Boveresses",6,"R",219289.58,13973.685,62.4281905857139,34.2968007
"S6_R_FOYER_O","Foyer",6,"R",101447.59,7277.79,67.0067952537766,23.2920206
"S6_R_VALMT_O","Valmont",6,"R",214020.95,23600.932,81.5607410697954,31.7909937
"S6_R_ST-ET_O","St-Etienne",6,"R",31431.955,29715.176,97.2997731361965,23.9799838
"S6_R_SALA_B","Sallaz",6,"R",166759.53,439965.84,89.6507352941177,65.2413101
"S6_R_VRUFF_S","Victor-Ruffy",6,"R",32928.715,7835.7256,54.3088595713615,22.0430225
"S6_R_VALNT_S","Vallonnette",6,"R",141871.78,39629.203,53.1238495032983,34.6556552
"S6_R_VROSS_S","Virgile-Rossel",6,"R",99557.78,24664.764,45.8910124370975,29.4067739
"S6_R_ALLIE_S","Allières",6,"R",55944.734,19608.008,73.456543274244,25.6879775
"S6_R_BETHU_O","Béthusy",6,"R",81158.59,47030.043,83.5052664511419,36.6084463
"S6_R_OURS_O","Ours",6,"R",60284.984,101796.39,148.23789385752,52.7196006
"S6_R_BESS_S","Bessières",6,"R",103182.19,143309.62,181.684566210046,68.9550213
"S6_R_SF_O","St-François",6,"R",138454.22,276938.25,145.732751867133,83.7573386
"S6_R_B-AIR_O","Bel-Air",6,"R",181135.27,159284.78,79.6288861625206,40.6821149
"S6_R_CH_O","Chauderon",6,"R",118765.484,177081.4,73.9351422898742,52.2503076
"S6_R_PT-CH_S","Pont Chauderon",6,"R",113816.33,27919.137,76.3028172822149,34.0251601
"S6_R_CECIL_S","Cécil",6,"R",72426.2,101245.195,90.7924145761246,30.3960688
"S6_R_M-DUF_S","Pont Marc Dufour",6,"R",37176.07,75241.39,52.182054545947,29.7668685
"S6_R_LGDOC_S","Languedoc",6,"R",3833.1719,55229.504,52.1557001491121,23.8911789
"S6_R_FNAY_O","Fontenay",6,"R",5272.689,93613.89,46.7792013898314,33.3330622
"S6_R_MT-OR_O","Mont d'Or",6,"R",5495.879,69416.51,48.7833545970303,24.1840984
"S6_R_FIGUI_O","Figuiers",6,"R",2845.0408,105947.766,68.630372259605,31.5103016
"S6_R_MTOIE_O","Montoie",6,"R",3169.646,86897.72,73.365017455815,30.9617701
"S6_R_MALAD_N","Maladière",6,"R",0,146957.39,NA,12.9539876
"S7_R_VVERT_T","Pully, Val-Vert",7,"A",300420.53,0,125.551422464135,518.3792647
"S7_R_ROS_O","Rosiaz",7,"A",84511.59,5066.399,60.9886513882768,26.3309681
"S7_R_CDRTT_O","Coudrette",7,"A",82894.9,4337.169,47.8664624336059,26.3233363
"S7_R_CHLYV_O","Chailly-Village",7,"A",189440.81,14098.16,94.2680271509168,32.8592775
"S7_R_PCHLY_O","Pont de Chailly",7,"A",588797.4,91783.38,76.5920959929546,54.800952
"S7_R_FAUCO_O","Fauconnières",7,"A",93841.65,16006.258,86.0987890797006,32.6051079
"S7_R_BETHU_O","Béthusy",7,"A",100522.4,87429.72,88.2734137642552,38.4489872
"S7_R_OURS_O","Ours",7,"A",61098.133,369619.38,149.02931689643,57.6207124
"S7_R_BESS_S","Bessières",7,"A",76184.45,253880.08,129.297772178756,68.8464784
"S7_A_SF_O","St-François",7,"A",243777.316,456770.6696,141.861841805334,67.0682041
"S7_A_B-AIR_N","Bel-Air",7,"A",321185.2,219211.5,141.727869300704,73.0593116
"S7_A_RIP_N","Riponne-M. Béjart",7,"A",232721.19,54673.29,91.922664693484,42.1590517
"S7_A_TNEL_E","Tunnel",7,"A",82338.625,99309.49,81.6533620515582,49.3476165
"S7_A_NORD_E","Place du Nord",7,"A",55841.52,99146.516,131.293533105652,32.9090989
"S7_A_OURS_E","Ours",7,"A",567178.4,86301.97,89.8051827857473,56.0837501
"S7_A_BETHU_E","Béthusy",7,"A",46205.9,143166.3,65.9854571094903,33.4092682
"S7_A_FAUCO_E","Fauconnières",7,"A",11606.749,98972.07,77.6527309210381,27.7451248
"S7_A_PCHLY_E","Pont de Chailly",7,"A",118135.18,480875.38,75.6823677359573,49.8290446
"S7_A_CHLYV_E","Chailly-Village",7,"A",14170.902,205132.83,51.7735274652548,35.1588713
"S7_A_CDRTT_E","Coudrette",7,"A",2238.2478,77505.03,61.9309713428489,24.7261196
"S7_A_ROS_E","Rosiaz",7,"A",2682.379,113911.47,117.83374169481,25.9968673
"S7_A_VVERT_T","Pully, Val-Vert",7,"A",0,296237.72,NA,14.2978611
"S8_A_VERRI_O","Verrière",8,"A",139249.38,0,73.3771407297096,321.4975404
"S8_A_VIGNE_O","Vignes",8,"A",78366.08,3624.295,49.4056202477801,25.914557
"S8_A_PPORT_O","Pully, port",8,"A",40358.027,4184.798,45.0215079491679,20.1644069
"S8_A_SOMAI_O","Somais",8,"A",97535.484,14840.565,57.3272313662518,26.1106503
"S8_A_CNIER_O","Châtaignier",8,"A",40310.027,3887.4717,35.1824508806681,20.5425666
"S8_A_VRNEY_O","Verney",8,"A",38927,4410.7944,27.7569933345825,20.0871835
"S8_A_BNIER_O","Bourdonnière",8,"A",22726.777,3404.3162,54.5646214798158,16.4629119
"S8_A_THALD_O","Tour Haldimand",8,"A",56593.53,9989.588,36.2440708817388,23.759637
"S8_A_DENAN_O","Denantou",8,"A",23465.582,2703.7231,64.2175909668008,19.5414101
"S8_A_MUSEO_O","Musée Olympique",8,"A",41453.53,49320.918,80.2925731432858,29.0640482
"S8_A_MTSI_N","Montchoisi",8,"A",173718.28,40899.43,53.9141839031186,41.175785
"S8_A_JURIG_N","Jurigoz",8,"A",63561.516,27068.072,88.2204865762821,61.8138999
"S8_A_ALPES_N","Alpes",8,"A",65476.98,38202.75,94.4379026058373,32.1237072
"S8_A_GTE_N","Georgette",8,"A",96621.84,128906.375,168.260188754486,65.5552316
"S8_A_SF_O","St-François",8,"A",197478.03,282177.66,141.41161448219,77.3482653
"S8_A_B-AIR_N","Bel-Air",8,"A",402795.06,183300.53,143.378721820502,75.2195472
"S8_A_RIP_N","Riponne-M. Béjart",8,"A",452291.06,88632.38,131.616942225525,46.4560293
"S8_A_TNEL_N","Tunnel",8,"A",65328.703,77334.18,52.9412795327847,39.7177623
"S8_A_MEMIS_N","Mémise",8,"A",54029.766,92453.63,55.4737987788691,31.7943987
"S8_A_GBORD_N","Grande-Borde",8,"A",50284.9,183976.97,59.8329881578249,32.8381471
"S8_A_VMOUL_M","Vieux-Moulin",8,"A",31817.367,107734.53,73.7889195148842,32.0973129
"S8_A_ROUVR_N","Rouvraie",8,"A",40496.473,99687.14,54.3778555637436,37.722973
"S8_A_MOTTE_N","Motte",8,"A",15914.256,74040.836,59.1486985924353,26.0947995
"S8_A_FORET_N","Forêt",8,"A",50590.633,196461.38,75.5943126719958,37.449346
"S8_A_BELVO_N","Bellevaux",8,"A",36076.043,138523.45,45.5939384405642,36.7375966
"S8_A_GGETT_N","Grangette",8,"A",5971.703,58764.023,38.2843959731544,22.7799801
"S8_A_RIONZ_N","Rionzi",8,"A",21586.352,78200.31,46.8679457943435,25.1565122
"S8_A_MARTI_N","Martines",8,"A",9780.981,28797.701,48.0176661773957,18.1407303
"S8_A_COTES_N","Côtes",8,"A",12752.158,58759.566,77.0953029985322,22.4586129
"S8_A_PMONT_N","Petit-Mont",8,"A",14667.658,104540.7,45.1870675193961,27.5446897
"S8_A_COPOP_N","Coppoz-Poste",8,"A",8444.455,75147.68,53.0662333237229,22.126992
"S8_A_COPOZ_N","Coppoz",8,"A",1433.112,34451.492,83.2203074178995,19.3290436
"S8_A_GMONT_T","Grand-Mont",8,"A",0,155674.28,NA,13.3833543
"S8_R_GMONT_T","Grand-Mont",8,"R",140052.61,0,46.1265232317409,406.6261006
"S8_R_GMONT_S","Grand-Mont",8,"R",27597.715,1378.2042,51.3509328162666,19.5936214
"S8_R_COPOZ_S","Coppoz",8,"R",31105.57,2085.5977,53.2055702570283,24.5187349
"S8_R_COPOP_S","Coppoz-Poste",8,"R",68068.305,9907.531,49.7552522659402,22.0074148
"S8_R_PMONT_S","Petit-Mont",8,"R",91192.19,14329.518,72.7834036199806,27.3557657
"S8_R_COTES_S","Côtes",8,"R",62644.758,14879.463,49.1113468489706,24.3160018
"S8_R_MARTI_S","Martines",8,"R",27542.674,9942.772,45.710050027502,19.006653
"S8_R_RIONZ_S","Rionzi",8,"R",75934.51,17571.328,39.0727120331081,25.1456822
"S8_R_GGETT_S","Grangette",8,"R",46478.605,8206.749,37.8801256051289,21.3379957
"S8_R_BELVO_S","Bellevaux",8,"R",96331.414,21754.406,94.4222413928319,26.1949496
"S8_R_FORET_S","Forêt",8,"R",205054.1,38419.906,54.514600925466,36.7445691
"S8_R_MOTTE_S","Motte",8,"R",130607.33,27500.86,95.9869315211709,40.2783195
"S8_R_VMOUL_S","Vieux-Moulin",8,"R",115191.67,38793.87,72.833249115715,41.690321
"S8_R_GBORD_S","Grande-Borde",8,"R",165004.36,34109.707,58.1845016487608,39.4186325
"S8_R_MEMIS_S","Mémise",8,"R",85085.38,40386.664,51.9523062608002,30.5967184
"S8_R_TNEL_S","Tunnel",8,"R",48965.383,71543.35,124.250906086771,66.0062209
"S8_R_RIP_S","Riponne-M. Béjart",8,"R",80202.95,490241.06,124.972940581138,71.3267242
"S8_R_B-AIR_D","Bel-Air",8,"R",80458.46,327953.03,188.779788958882,73.5711775
"S8_R_SF_S","St-François",8,"R",260366.2,161283.84,104.301871135262,71.0532653
"S8_R_GTE_S","Georgette",8,"R",105369.43,66469.7,89.1952518601788,55.6496774
"S8_R_ALPES_S","Alpes",8,"R",18918.771,50481.79,93.8132862266474,50.3403993
"S8_R_JURIG_S","Jurigoz",8,"R",9870.244,73739.44,64.6881746545769,31.072828
"S8_R_MTSI_S","Montchoisi",8,"R",36673.043,118793.92,63.2381857613323,37.9519646
"S8_R_MUSEO_E","Musée Olympique",8,"R",32156.367,28830.082,30.7405959679794,26.8639321
