"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"libelle_arret_theo2";"sequence_theo";"montees";"descentes";"geom_arret"
62;"A";"CAROU_N";"Carrouge VD, centre";24;3961,294;10467,312;c(6.77632999420166, 46.6063423156738)
62;"A";"VULLI_N";"Vulliens, Halte TL";25;1145,9026;5366,342;c(6.77976417541504, 46.6148452758789)
62;"A";"VUCH_N ";"Vucherens, village";28;1808,7911;7033,1533;c(6.78244018554688, 46.6245079040527)
62;"A";"CLOSY_N";"Vucherens, Closy";29;249,26575;2045,7585;c(6.78309917449951, 46.6282806396484)
62;"A";"SYENS_N";"Syens, Champ-du-Chêne";31;888,4318;2412,9053;c(6.78377294540405, 46.6437568664551)
62;"A";"BRESS_N";"Bressonnaz, Village";33;8961,562;7282,542;c(6.78895282745361, 46.6518096923828)
62;"A";"SORBI_N";"Moudon, Sorbiers";34;3469,9316;17186,34;c(6.79521894454956, 46.6620635986328)
62;"A";"VERG_N ";"Moudon, Verger";35;443,80838;21927,607;c(6.79888916015625, 46.6666107177734)
62;"A";"MOUD_S ";"Moudon, Gare";36;0;37846,17;c(6.80170011520386, 46.6675872802734)
62;"R";"MOUD_S ";"Moudon, Gare";1;90277,89;0;c(6.80170011520386, 46.6675872802734)
62;"R";"VERG_S ";"Moudon, Verger";2;16985,752;903,0306;c(6.79871988296509, 46.6665458679199)
62;"R";"SORBI_S";"Moudon, Sorbiers";3;14830,197;7731,5977;c(6.79543685913086, 46.6623725891113)
62;"R";"BRESS_S";"Bressonnaz, Village";4;6094,3965;10466,517;c(6.78875780105591, 46.6517562866211)
62;"R";"SYENS_S";"Syens, Champ-du-Chêne";6;2890,7083;1270,1323;c(6.78361892700195, 46.6435661315918)
62;"R";"CLOSY_S";"Vucherens, Closy";8;3202,803;557,5021;c(6.78300905227661, 46.6281814575195)
62;"R";"VUCH_S ";"Vucherens, village";9;9217,636;2107,4597;c(6.78245782852173, 46.6251983642578)
62;"R";"VULLI_S";"Vulliens, Halte TL";12;4819,075;885,2959;c(6.77970886230469, 46.6150283813477)
62;"R";"CAROU_S";"Carrouge VD, centre";13;13654,172;3994,6033;c(6.77623605728149, 46.6066131591797)
62;"R";"MEZ-S_S";"Mézières VD, station";15;13655,381;3662,6387;c(6.77174377441406, 46.5993347167969)
62;"R";"MEZ-V_O";"Mézières VD, village";16;44719,586;13277,823;c(6.77019214630127, 46.5960884094238)
62;"R";"CX-OR_O";"Carrouge VD, Croix d'Or";18;5322,6035;1091,203;c(6.76467895507812, 46.5986747741699)
62;"R";"ECORC_O";"Carrouge VD, Ecorcheboeuf";19;10334,988;3056,4558;c(6.75974607467651, 46.5975914001465)
62;"R";"USSRO_S";"Ropraz, Ussières";21;3126,6357;517,05194;c(6.75468397140503, 46.6015396118164)
62;"R";"HOMEJ_S";"Ropraz, Home du Jorat";22;3735,879;1663,7324;c(6.7513370513916, 46.5958404541016)
62;"R";"CORC_S ";"Ropraz, Corcelles-Jorat";23;2251,3315;804,35925;c(6.74482679367065, 46.5906562805176)
62;"R";"MPREV_S";"Montpreveyres, village";25;22104,646;6143,1367;c(6.74095392227173, 46.5823364257812)
